14281536
/m/03c_5bh
/m/03c_5bh
Mary Stewart
1996
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
a 3
alexander 2
alice 1
and 4
arthur 2
as 1
attempt 1
been 1
but 1
by 1
can 1
court 1
cup 1
day 1
diverted 1
does 1
during 2
enchantment 1
enchantments 1
events 1
evil 1
find 1
followup 1
for 2
gain 1
grail 1
him 2
his 2
holy 1
in 2
is 2
it 1
justice 1
king 1
last 1
leads 1
lefay 1
love 1
morgan 1
mysterious 1
not 1
novel 1
of 2
over 1
own 1
persuades 1
pilgrim 1
place 1
possibly 1
power 1
prince 2
quest 1
really 1
reign 1
search 1
seductive 1
seeking 1
selfcontained 1
serve 1
she 2
so 1
sorceress 1
taking 1
tale 1
that 1
the 10
theft 1
theyve 1
thus 1
to 3
together 1
what 1
wicked 1
