7647466
/m/0267s8h
/m/0267s8h
Robin Cook
1981
28 1
41 1
a 13
after 1
ailments 1
along 1
also 2
an 1
and 7
another 1
apartment 1
are 2
around 1
artificial 1
as 1
asks 1
asylum 1
at 2
back 1
be 1
been 1
being 1
brain 2
causing 1
cells 1
center 1
clinic 2
colleague 1
collins 2
consciousness 1
conspiracy 1
cops 1
creating 1
damaged 1
dangerous 1
days 1
deceiving 1
denise 1
department 1
described 1
discover 1
doctor 2
doctors 1
dr 7
drawn 1
elevators 1
faints 1
familiar 1
family 1
female 1
for 2
from 3
girl 2
girlfriend 1
going 1
graduating 1
gyn 1
gynac 1
has 2
having 1
he 1
head 1
her 8
hometown 1
hospital 2
however 1
human 1
in 7
intelligence 1
into 1
involved 2
involving 1
is 10
kathereine 2
lisa 1
located 1
loses 1
machine 1
manhattan 1
mannerheim 1
marino 1
martin 2
medical 1
michaels 1
missing 1
mit 1
move 1
named 1
neuroradiologist 1
neuroradiology 1
neurosurgeon 1
new 1
next 1
now 1
nyc 1
oddly 1
odor 1
of 3
old 2
on 3
only 1
onto 1
operate 1
operation 1
parents 1
patient 2
philips 3
phillips 2
private 1
proceeds 1
protagonist 1
put 1
records 1
remove 1
repulsive 1
researcher 1
reveal 1
revolves 1
room 1
same 1
sanger 1
say 1
scene 1
searching 1
seizure 1
seizures 2
selfdiagonstic 1
set 1
she 7
shown 1
shows 1
simultaneously 1
smells 1
some 2
started 1
starts 2
story 3
stronger 1
stubborn 1
subjects 1
symptoms 1
test 1
that 1
the 14
then 2
this 1
to 8
treatment 1
undergo 1
undergoing 1
usage 1
visiting 1
wants 1
way 1
when 1
where 3
which 1
while 1
who 3
with 3
withdraw 1
working 1
world 1
xray 1
year 1
years 1
york 1
