7761142
/m/026c4_v
/m/026c4_v
Randa Abdel-Fattah
2006-10-01
{"/m/0dwly": "Children's literature"}
a 5
about 2
age 1
all 1
allowed 1
also 1
amy 1
and 6
antiwar 1
are 1
as 1
at 5
attend 1
background 1
band 1
be 4
become 2
behind 1
best 1
big 1
blonde 1
book 1
boy 1
but 3
by 1
can 1
cant 1
charter 1
closer 1
coming 1
complicated 1
curfew 1
dad 1
dark 1
discriminatory 1
down 1
dyed 1
email 1
end 1
everyone 1
father 1
find 1
first 1
for 3
formal 2
friend 3
friends 1
from 2
gets 1
getting 1
hair 2
happen 1
has 2
hates 1
have 1
he 3
her 15
herself 1
hidden 1
his 1
human 1
identity 1
if 1
in 4
interested 1
is 10
it 2
jamie 7
jamilah 2
john 2
just 1
knew 1
leave 1
lebanesemuslim 1
life 2
living 1
liz 1
loner 1
lot 1
more 2
most 1
muslim 2
name 1
no 1
novel 1
now 1
of 5
off 1
older 1
only 2
or 1
other 3
own 1
past 1
performing 1
person 1
popular 1
pretty 1
protester 1
real 2
really 1
reason 2
revealing 1
rights 2
roots 1
school 6
secret 1
secretive 1
seems 1
settle 1
she 7
shell 1
shereen 1
sister 1
some 1
stone 1
stop 1
stories 1
story 1
students 1
suburbs 1
suddenly 1
sydney 1
teenager 1
tells 1
that 2
the 15
their 2
then 1
there 3
thing 1
things 1
thinking 1
this 1
three 1
timothy 1
to 8
top 1
towfeek 2
tries 1
true 1
truth 1
two 1
up 1
various 1
wants 2
way 2
western 1
who 2
why 1
with 2
would 1
years 1
