10926041
/m/02qv5jt
/m/02qv5jt
Paul Magrs

a 3
against 1
alien 1
alone 1
an 1
and 2
arrives 1
automated 1
but 1
by 1
called 1
craw 2
creature 1
devour 1
dreamhome 1
dreamhouse 1
enemy 1
enormous 1
everything 1
family 1
force 1
frozen 1
fully 1
futuristic 1
heading 1
here 1
his 1
home 1
impenetrable 1
in 1
intent 1
is 2
its 1
itself 1
landscape 1
live 1
not 1
occupants 1
on 1
only 1
outside 1
professor 1
protected 1
roam 1
sabretoothed 1
shield 1
supposedly 1
tardis 1
the 6
their 1
tiermann 2
tigers 1
to 1
towards 1
turns 1
voracious 1
with 1
world 1
