22982754
/m/064pt0b
/m/064pt0b
Linda Newbery
2006
a 1
adequate 1
advertises 1
always 1
an 2
and 2
any 1
applies 1
art 4
artist 1
aspiring 1
at 1
away 1
becomes 1
before 1
businessman 1
but 1
contemplates 1
daughter 1
daughters 1
death 1
discovers 1
do 1
drop 1
ernest 1
farrow 3
father 1
finished 1
following 1
for 4
forced 1
fourwinds 2
from 1
godwin 4
grounds 1
he 3
her 1
his 4
infatuated 1
into 1
is 2
juliana 1
mansion 1
marianne 2
masterpiece 1
moves 1
night 1
of 1
out 1
own 1
position 1
previous 1
pursue 1
qualifications 1
questions 1
quiet 1
remain 1
sad 1
samuel 1
school 1
sculptor 1
sent 1
sister 1
successfully 1
talented 1
the 3
time 1
to 3
tutor 2
two 1
unanswered 1
wanders 1
was 1
wealthy 1
what 1
while 1
with 2
without 1
work 1
youngest 1
