6841973
/m/0gs33z
/m/0gs33z
Barbara Pym
1958
158 1
a 9
about 1
acquaintance 1
admirer 2
after 1
and 5
at 1
attractive 1
aware 1
becomes 2
begins 1
believe 1
brother 1
but 2
can 1
central 1
character 1
church 2
close 2
comedy 1
comfortable 1
conclusion 1
day 1
develops 1
does 1
dogooder 1
drawn 1
eccentric 1
enjoys 1
especially 1
fact 1
fails 1
for 1
forsyth 1
frank 1
friend 2
gay 1
good 1
guiltily 1
he 1
her 6
his 1
homosexuality 1
husband 1
in 6
infrequent 1
instigation 1
interest 1
into 1
is 7
it 1
keith 2
leisure 1
life 3
live 1
longridge 1
lowerclass 1
luke 1
lunching 1
man 1
manners 1
married 1
motherinlaw 1
narrator 1
need 1
neerdowell 1
no 1
not 3
novel 1
oblique 1
occasional 1
occupies 1
of 6
one 1
or 1
other 1
particularly 1
piers 4
published 1
pym 1
reach 1
reader 1
realise 1
referred 1
relationship 2
renews 1
romantic 2
routine 1
secret 1
service 1
she 6
shopping 1
slightly 1
social 1
somewhat 1
st 1
subject 2
subtle 1
surprisingly 1
than 1
that 3
the 7
this 1
though 1
time 1
to 4
together 1
until 1
usually 1
ways 1
when 1
wilmet 2
with 4
woman 1
work 2
works 1
young 1
