16042000
/m/03ql_v4
/m/03ql_v4
Andre Norton
1955
a 5
able 1
all 1
almost 1
also 1
and 8
any 1
apprentice 1
are 2
arrival 1
as 1
assigned 1
at 1
be 1
better 1
bid 1
can 1
cargo 1
companies 1
contact 1
contract 1
contracts 1
crash 1
crew 2
criminal 1
criminals 1
dane 2
dangerous 1
discover 1
discovered 1
down 1
end 1
for 2
free 2
friends 1
gets 1
getting 1
group 1
handed 1
has 1
his 1
humans 1
impossible 1
including 1
intelligent 1
intergalactic 1
is 3
learn 1
life 1
limbo 3
limited 1
loot 1
machinery 1
master 1
means 1
much 1
named 1
not 2
novel 1
on 5
only 1
over 1
own 1
planet 3
planets 1
police 2
queen 2
recently 1
remote 1
right 1
salaries 1
saving 1
ship 1
ships 1
shut 1
solar 2
sophisticated 1
starts 1
system 1
take 1
that 3
the 13
their 3
they 3
thorson 1
to 6
trader 2
trading 5
unpredictable 1
upon 1
used 2
various 1
very 2
wages 1
which 1
win 1
with 3
work 1
working 1
