1240426
/m/04lbk6
/m/04lbk6
Gregory Maguire
1995
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0fr3y1": "Parallel novel"}
2 1
3 2
a 73
able 1
abound 1
about 8
absent 1
absolution 1
accept 1
accidentally 1
accompany 1
acquire 1
across 1
actions 1
actually 2
adopts 1
affair 3
afford 1
after 11
again 1
against 1
age 1
agreements 1
air 1
all 4
allow 1
almost 4
alone 1
along 3
also 5
ama 7
ambassadors 1
among 1
an 6
ancient 1
and 98
anger 1
angst 1
animal 2
animals 11
another 1
any 2
anyone 1
anything 1
apart 1
apartment 1
apologize 1
apparently 1
approached 1
arduenna 1
are 13
arms 1
around 1
arrival 2
arrives 2
arriving 1
as 15
ashes 1
asking 2
asks 1
assistant 1
assumed 1
at 16
attack 1
attempts 1
attending 1
attention 1
attraction 1
avaric 1
avoid 1
away 2
baby 1
back 4
backtoschool 1
bargain 1
based 1
bashes 1
baum 1
be 10
beads 1
beautiful 1
because 4
become 7
becomes 4
becoming 3
been 3
bees 1
before 1
befriends 1
begin 2
beginning 1
begins 1
behind 2
being 4
believe 1
believes 1
believing 1
beloved 1
between 2
bfee 1
biology 1
birth 1
biting 1
blows 1
blue 1
body 1
bonding 1
book 3
boq 3
born 5
bottle 4
bound 2
boy 3
briefly 1
bring 2
brings 1
broom 2
bucket 1
bunk 1
business 1
but 12
by 8
called 2
calling 1
calls 1
came 2
cannot 5
capitalization 1
care 1
caring 1
carries 1
case 1
cases 1
castle 4
catch 1
cause 1
causes 1
centers 1
changes 1
chaperone 3
charity 1
chews 1
child 4
childhood 1
children 4
choice 1
chronologically 1
city 5
civil 2
claim 1
claims 3
clan 1
class 3
clear 2
climbing 1
clock 1
close 1
closer 1
clothes 1
club 1
clutch 7
college 2
come 2
comes 3
commentary 1
committed 1
common 1
complete 2
concept 1
concerns 1
condition 1
confesses 1
confirmed 1
conflicting 1
consequences 1
constant 1
contents 1
convert 1
convinced 2
convinces 1
could 1
country 1
course 1
covered 1
crage 2
credit 1
crows 1
crush 2
customs 1
dame 1
day 1
decade 1
deceased 1
decided 1
decides 4
denies 1
departure 1
descends 1
despite 1
despotic 1
deteriorates 1
develops 1
diamond 1
did 2
die 1
died 1
dies 2
different 1
difficult 1
dillamond 16
discovers 3
discovery 1
discriminated 1
discrimination 1
discuss 1
discussing 1
dismisses 1
distinguished 1
divided 1
do 1
doctor 14
does 3
doesnt 1
dog 2
dogs 2
done 2
dormitory 2
dorothy 15
dr 1
dragon 1
drawn 1
draws 1
drink 1
drinks 1
dropping 1
drug 1
due 1
dull 1
during 2
dwarf 1
each 1
early 1
east 2
elderly 1
elixir 1
elphaba 77
embraces 1
emerald 3
eminent 2
enchanted 1
encounter 1
encounters 1
end 1
ends 2
enroute 1
ensuing 1
ensure 2
entranced 1
equal 1
escapes 1
etc 1
ethical 1
evades 1
even 1
eventually 3
ever 1
everyone 3
everything 1
evil 2
except 1
experience 1
explains 1
extended 1
failing 1
fall 2
false 1
family 7
farmhouse 2
fashion 1
fashioned 1
father 5
favorite 2
fear 1
fears 1
feelings 1
feels 1
few 3
fields 1
fight 1
finally 1
find 1
finds 3
fire 2
first 3
firstborn 1
fish 1
five 2
fiyero 13
floor 1
following 1
follows 2
food 1
for 25
force 3
forced 4
forcing 1
forgiveness 1
formerly 1
forum 1
found 2
frank 1
free 1
frex 13
frexspar 1
friends 11
friendship 2
from 14
front 1
fulfill 1
funeral 2
furious 2
further 2
gale 3
galinda 13
game 1
gave 1
genetic 1
get 5
gets 1
gift 1
gillikin 3
gillikinese 1
girl 4
girls 1
give 1
gives 3
glass 2
glassblower 1
glinda 20
go 3
goat 3
god 2
goes 1
going 1
gone 2
good 2
gossip 1
gradually 1
granddaughter 1
great 1
green 7
greenskinned 1
gregory 1
grief 1
grieves 1
grimmerie 3
grommetik 2
group 3
grows 1
guilt 1
had 4
half 2
hall 2
hand 1
handblown 1
hands 1
happened 1
happy 1
has 15
hat 3
hauled 1
have 9
having 5
he 20
heading 1
headmistress 1
heads 1
heard 1
hearing 1
heart 9
heavily 1
help 6
her 74
hers 1
herself 4
hide 2
hideous 1
him 11
his 16
hold 1
holds 1
home 3
homeless 1
hope 1
hopes 2
horrible 1
horrified 1
house 2
household 1
how 2
however 6
howling 1
human 1
humans 2
hurt 1
husband 1
icicle 1
if 1
igniting 1
ignorant 1
illicit 1
impact 1
implied 1
imply 1
importantly 1
in 39
inadvertently 1
indeed 1
infamous 2
informs 1
initially 1
initials 1
innocently 1
insistence 1
instead 1
interested 2
interfering 1
into 5
involved 1
irji 1
is 59
it 13
itinerant 1
its 1
joined 1
just 1
kansas 2
keep 1
kept 1
kiamo 5
kidnapped 1
kill 6
killed 1
killing 2
kills 4
killyjoy 1
knew 1
known 1
ko 5
lab 1
labels 1
ladder 2
land 2
language 1
last 2
lasting 1
late 1
later 6
lead 1
leading 1
learn 1
leave 1
leaves 3
leaving 1
lectures 1
lets 1
letter 2
lfb 1
life 3
liir 6
like 2
line 1
lines 1
little 2
live 1
lives 1
location 1
loneliness 1
long 1
look 1
looking 1
looks 1
lost 1
love 1
lovers 1
low 1
lower 1
lucidity 1
lyman 1
madame 8
made 1
magic 3
magicked 1
maguire 1
make 1
makes 2
making 1
manek 3
many 1
margins 1
marriage 1
married 1
masquerading 1
matters 1
mauntery 1
mayor 1
meant 1
meanwhile 1
medical 1
meet 1
meeting 1
meets 2
melena 10
memory 1
men 1
mentioned 1
minister 1
minority 1
minutes 1
miracle 1
mirror 1
mispronunciation 1
miss 1
misunderstand 1
misunderstood 1
mock 1
months 1
more 5
morrible 10
most 1
mother 4
motherly 1
movement 2
much 1
munchkin 1
munchkinland 5
munchkinlander 2
munchkinlanders 1
murder 5
murdered 2
must 1
mute 2
muzzle 1
mysterious 2
nail 1
name 2
named 6
nanny 7
nature 1
nearby 1
nearly 1
neglects 1
negotiations 1
nessa 7
nessarose 7
nessie 1
never 1
new 4
newborn 1
news 1
next 1
nicknames 1
night 2
nine 1
no 6
noble 1
nonselfaware 2
nor 4
north 1
not 12
noted 1
nothing 2
notorious 1
novel 1
now 5
nowburning 1
occasionally 1
of 77
off 2
offers 1
old 3
on 25
once 3
one 5
only 3
or 6
order 1
orders 2
ostensibly 1
other 3
others 1
out 9
outcast 1
over 2
own 3
oz 8
ozians 1
ozlanguage 1
page 1
pain 2
pair 1
parents 1
parishioners 1
part 3
partly 1
passed 1
passengers 2
pastor 1
pattern 1
pawns 1
peace 2
pen 1
people 1
perceived 1
periods 1
personalities 1
pets 1
philosophy 2
phrase 1
pink 2
pinlobble 1
place 1
plans 1
plead 1
plot 1
poetry 1
point 1
police 1
political 1
politicians 1
position 2
possible 1
potential 1
potion 3
power 2
preaching 1
pregnant 1
pretty 1
prevents 1
previous 1
previously 1
prince 3
professors 1
profound 1
prologue 1
promises 1
propagandizing 1
proposition 1
protect 2
punishment 1
puppy 1
puts 1
quadling 3
quadlings 2
quarters 1
quells 1
quiet 2
raising 1
ranked 1
read 1
realize 1
reason 1
rebuffs 1
received 1
reciprocated 1
recognises 1
reconnect 1
referring 1
reflecting 1
refuses 3
refusing 1
regardless 1
regular 1
reign 1
rejoice 1
relation 1
relationship 1
release 1
religion 1
religious 1
reluctant 1
remain 1
remarks 1
represent 1
requires 1
rescue 1
research 1
residents 1
restored 1
retreats 1
return 2
returned 1
returning 1
returns 4
revealed 1
reveals 1
revelation 1
rid 1
ride 3
rightfully 1
rights 2
ripped 1
rise 1
room 2
roommate 2
rumors 1
running 1
runs 1
rush 1
rusty 1
safety 1
sarima 5
savage 1
save 1
saying 2
says 1
scarecrow 4
schoolmate 1
second 1
secret 3
secretary 1
secretly 1
sections 1
seduces 1
see 1
seeing 2
seek 1
seem 1
seemingly 3
seems 3
seen 2
sees 1
selfaware 2
send 2
sends 6
sent 1
sentient 1
servant 1
serves 1
sets 2
settle 1
settled 1
seven 1
seventeen 1
seventh 2
shaken 1
sharp 1
she 53
shiz 11
shock 1
shoes 4
short 2
should 2
show 1
shows 1
shrine 1
side 1
silent 2
silver 1
similarities 1
since 1
sins 1
sister 3
situation 1
six 1
skin 1
skirt 1
skull 1
slip 1
so 5
socalled 1
social 4
socializing 1
soiree 1
soldiers 1
some 6
somehow 1
something 1
son 4
sons 1
sorceress 1
sorcery 2
south 1
southwestern 1
speaks 1
special 1
spell 1
spells 1
spreading 1
spreads 1
spying 1
st 1
standing 1
start 3
started 1
starts 1
stayed 2
staying 2
stays 2
steam 1
stepped 1
still 1
stood 1
stops 1
storm 1
story 3
strange 1
stranger 1
studies 1
study 2
stupor 2
subdued 1
subsides 1
suicide 1
supervision 1
sure 1
survived 1
survivor 1
take 2
taken 2
takes 3
talk 3
talked 1
talking 2
tall 1
task 3
tattoos 1
taught 1
teaches 1
technique 1
teeth 1
tell 1
tells 4
terrified 1
than 4
that 39
the 159
their 7
them 5
then 2
there 6
they 11
think 1
third 1
this 7
though 3
thropp 3
through 3
throughout 1
throws 2
thus 1
time 6
tin 1
titles 1
to 120
together 1
told 2
toto 1
touching 1
toward 1
town 1
train 4
travel 3
traveling 1
treated 1
treatment 1
tries 1
trouble 1
try 1
trying 1
turned 1
turns 1
turtle 9
two 3
type 1
uncertain 1
unconscious 1
under 3
unexpectedly 1
unforeseen 1
unhappy 1
unhinge 1
unionist 2
unique 1
unit 1
university 2
unknown 1
unnamed 2
until 1
unwilling 1
up 6
upon 2
upset 1
use 2
verge 1
versus 2
very 1
villagers 1
vinkus 2
vision 1
visit 1
visits 2
vows 1
wait 1
walk 1
want 1
wants 1
war 1
warmth 1
was 9
water 3
waves 1
way 2
wear 1
well 5
were 2
west 2
what 3
when 13
where 6
whereabouts 1
whether 1
which 7
while 6
who 13
whom 5
wicked 3
widespread 1
wife 4
will 10
windup 1
wing 1
witch 5
with 34
within 1
without 2
witnessed 1
witnesses 1
wizard 16
woman 1
women 1
woodman 1
word 2
work 1
working 1
world 1
would 1
wracked 1
wrapped 1
written 1
yackle 4
year 4
years 5
yet 1
younger 1
zeal 1
zealotry 1
