2789564
/m/082tsv
/m/082tsv
Timothy Findley

{"/m/014dfn": "Speculative fiction"}
11 1
7 1
a 18
aboard 2
about 1
according 1
adamant 1
additional 1
after 1
again 2
against 1
agrees 3
aid 1
alcoholic 1
all 2
allowing 1
alone 1
also 2
always 1
an 5
and 47
angels 1
animal 1
animals 3
another 1
anyone 1
appears 1
application 1
apron 1
are 4
ark 9
armoury 2
arms 1
as 8
asks 2
assassinated 1
at 2
attempt 1
attempting 1
attempts 1
authoritarian 1
baby 4
bar 1
barn 1
bars 1
be 9
becomes 1
becoming 1
been 1
before 1
befriend 1
begins 2
behind 1
below 1
between 2
birds 1
blankets 1
blind 1
board 5
boards 1
bonds 1
book 1
books 1
born 2
bottle 2
brained 1
branch 2
breaks 1
bring 1
brother 1
brought 2
build 1
burn 1
but 8
buzzing 1
by 8
cage 1
call 2
called 1
can 2
captures 1
care 1
carnage 1
carriage 2
cat 2
cats 1
central 1
chains 2
chapel 3
characters 1
child 4
chores 1
chosen 1
city 1
clearly 1
close 1
clouds 1
coin 1
come 2
concerned 1
consummate 2
continue 1
could 1
cries 1
cross 1
crowe 1
curses 1
cuts 1
day 2
dead 2
deal 1
death 1
decide 1
decides 4
deck 5
decreed 1
defeated 1
demons 2
depressed 2
die 1
disappear 1
doctor 1
does 2
dolphins 2
done 1
doomed 1
door 4
dove 5
dr 3
drag 1
drawing 1
dressing 1
due 2
eating 1
edict 3
elements 1
emma 13
ends 1
enjoy 1
enraged 1
enrages 1
entry 1
escape 1
escapees 1
eventually 1
every 1
exhausted 1
eyes 1
factions 1
family 3
father 2
feces 1
felines 1
fills 1
find 1
findley 1
finds 1
fingers 1
fire 1
first 1
flies 1
flood 1
followed 1
for 8
force 1
forced 1
forcing 1
formulate 1
found 1
free 1
freedom 1
from 6
fruit 1
gain 1
get 1
giant 1
girl 1
glass 1
god 1
great 1
hairy 1
ham 9
hannah 11
has 8
have 3
he 13
heal 1
hearing 1
hears 1
heavy 1
help 2
her 8
hidden 1
hide 1
hides 1
him 3
himself 3
his 12
home 1
horn 1
house 1
humanity 1
husband 1
idea 1
if 2
image 1
imposes 1
in 13
indeed 1
inflicted 1
inhabitants 1
injures 1
inside 1
insists 1
inspects 1
inspired 1
is 28
it 4
its 2
japeth 17
kill 2
know 1
knows 2
labour 1
land 1
law 1
leads 1
leaves 2
left 1
let 1
letter 1
levels 1
like 1
likely 1
line 1
live 1
locked 3
locking 2
locks 1
look 1
lotte 5
lower 1
lucifer 1
lucy 9
magic 1
make 1
makes 1
marriage 2
married 2
marries 1
meanwhile 1
members 1
message 1
monkey 3
monkeylike 1
more 1
mottyl 6
mrs 16
must 5
mysterious 1
near 1
negatively 1
neglect 1
neutralize 1
never 1
noah 30
not 4
notices 2
novel 3
noyes 20
obedient 1
obsessed 1
obsession 1
of 16
off 1
offal 1
offering 1
often 1
olive 1
on 9
once 1
one 2
only 3
open 2
opens 1
orchard 1
other 1
others 2
out 1
outside 2
overboard 2
own 2
pain 1
passengers 1
patrolling 1
penguin 1
penny 2
people 1
pet 1
pirates 2
plan 2
plans 1
point 1
praying 2
preoccupied 4
preparation 1
problem 2
process 1
produced 1
properly 1
prove 1
puts 2
quarters 1
quickly 3
rain 3
raise 1
react 1
reason 1
rebel 1
rebellious 1
rebels 1
received 1
refraction 1
refuses 3
release 1
remain 1
remains 1
removes 1
represent 1
requests 1
rescues 1
resigned 1
resolutely 1
rest 1
return 1
returns 1
revealed 2
river 1
rotten 1
sacrifice 1
same 1
see 1
sees 1
send 3
sets 1
sevenfoottall 1
severely 1
sex 1
she 3
shem 7
shortly 1
show 1
since 2
sister 1
sitting 1
slaughter 1
sleeps 1
smell 1
smuggles 1
so 2
solution 1
some 1
sons 1
soon 1
spends 1
spirits 1
start 1
starts 1
states 1
stay 1
stop 1
sunny 1
swim 1
tacitly 1
take 1
talks 1
tells 2
that 16
the 80
their 3
them 3
then 2
there 1
they 5
things 1
this 1
three 1
threw 1
through 1
throws 2
ties 1
tightness 1
time 3
times 1
timothy 1
to 55
top 1
trained 1
trait 1
traumatizes 1
treatment 1
tries 1
truce 1
trying 1
twin 1
two 3
ultimately 1
unable 1
unconvinced 1
under 1
unfortunately 1
unicorn 4
until 3
up 1
uses 2
using 1
vanish 1
violence 1
visits 1
voyage 1
wary 1
was 1
water 2
way 1
weather 1
webbed 1
what 3
when 4
where 1
which 3
while 2
who 5
whose 1
why 1
wife 2
will 5
willfully 1
with 12
within 1
woman 1
worried 1
wounds 2
wraps 1
written 1
yaweh 13
young 1
