2932249
/m/08dhlr
/m/08dhlr
Carl Hiaasen
1995
357 1
7000 1
a 50
aback 1
abandons 1
abducted 1
abduction 1
accident 1
accompanying 1
actions 1
active 1
adjuster 1
advertising 1
african 1
after 5
against 1
agent 1
ahead 1
along 1
alongside 1
also 1
ambushes 1
an 10
and 47
angle 1
animals 2
announces 1
annulled 1
another 2
apart 1
appalled 1
appear 1
approved 1
are 4
argue 1
around 1
arranges 1
arrive 1
arrives 1
artist 1
as 11
ashes 1
assaulted 1
at 10
attacked 1
attempt 2
attempts 1
attracted 1
attraction 1
attractive 1
augustine 10
average 1
avid 1
avila 9
aware 1
away 2
back 6
band 1
bankruptcy 1
be 3
beats 1
become 2
becomes 2
before 1
befriended 1
begin 1
begins 1
being 1
belongs 1
best 1
between 1
bit 1
bitten 1
bizarre 2
blabbed 1
blackmails 1
bonnie 12
bored 1
both 3
bottle 1
brenda 3
bridge 2
bring 1
brooks 1
building 2
bulletproof 1
business 1
but 5
button 1
by 18
cadillac 1
camera 1
campfire 1
can 1
car 1
career 2
carjacks 1
cash 1
catches 1
catching 1
chance 2
charity 1
chases 1
checks 1
cherokee 1
chokoloskee 1
chooses 1
christmas 1
church 1
civilization 1
clear 1
coast 2
collar 1
collect 1
collection 1
come 1
companies 1
company 2
con 2
conceal 1
concocts 1
consequences 1
construction 3
convenience 1
convinced 1
convinces 1
corrupt 2
cost 1
country 1
county 1
couple 1
court 1
crisis 1
crocodile 2
cuban 1
customers 2
cut 2
cutter 1
dart 2
day 1
days 1
debris 1
deceased 2
decides 3
declaring 1
deduces 1
delays 1
demanding 1
deposit 1
deserves 1
desire 1
desperate 1
destination 1
deteriorating 1
devastation 1
dies 1
different 1
dimwitted 1
disaster 1
disasters 1
discovered 1
discovers 1
disgruntled 1
disney 1
do 1
does 1
donates 1
dove 1
down 1
draw 1
drive 2
driving 1
dump 2
during 2
each 1
earlier 1
eats 1
edge 2
edie 12
egregiously 1
elderly 1
emerges 1
enacts 1
end 1
enforcer 1
engaged 1
enough 1
enraged 1
entertained 1
entire 1
escaped 1
escapes 1
estate 1
estranged 1
even 2
eventually 2
everyone 2
except 1
exconvict 1
exgovernor 1
exotic 1
expecting 1
expose 1
exposed 1
fallout 1
falls 1
false 1
farm 1
fearful 1
fend 1
fervent 1
few 1
finds 1
fix 1
flies 1
florida 6
follows 1
for 14
force 1
forces 1
forcing 1
former 1
fray 1
freak 1
fred 2
friend 1
from 10
fruitlessly 1
full 1
fumbling 1
gar 3
get 2
getaway 1
gets 2
girlfriend 1
gives 1
go 1
growing 1
guard 1
gun 2
gunpoint 1
gutted 1
had 1
halffutile 1
hand 1
happened 1
happens 1
has 6
have 2
he 21
help 2
her 8
herrera 1
hiding 1
highway 2
him 16
himself 4
hired 1
his 22
hitting 1
hole 1
home 3
homeowner 1
homeowners 1
homes 1
honeymoon 1
hopping 1
hostage 2
hostages 1
hotel 5
house 5
houses 1
however 3
hurricane 7
hurt 1
identifies 1
if 1
immediately 1
impulsively 1
in 25
independent 1
injuries 1
injury 1
inside 1
inspector 3
instead 1
insurance 5
intervene 1
into 6
invites 1
involvement 1
ira 2
irredeemable 1
is 21
islands 1
it 5
jackson 3
jeep 6
jim 4
job 1
joins 1
jump 1
keep 1
keys 2
killed 3
killing 1
knocking 1
knowing 1
lake 2
landfall 1
large 1
last 1
later 2
leads 1
learns 1
least 1
leave 1
led 1
left 2
less 1
letting 1
levon 1
likewise 1
lion 1
liquor 1
lived 1
living 1
loading 1
long 1
longterm 1
looking 1
loosed 1
loses 1
loss 1
lot 1
made 1
make 1
making 2
man 3
manages 2
manners 1
marriage 1
marries 1
marsh 1
max 11
meanwhile 2
meeting 1
menagerie 1
metal 1
misses 1
missing 1
mission 1
mistake 1
mob 1
mobile 1
mogul 1
money 2
months 1
more 1
mother 3
move 1
much 1
murdered 1
must 1
name 1
names 1
national 1
natural 1
nature 1
needs 1
neria 2
nerves 1
new 6
newlyweds 1
news 1
next 2
nicknamed 1
night 1
noses 1
not 2
notifies 1
novel 1
now 1
nowdeceased 1
ocean 1
of 29
off 3
on 9
once 1
one 2
only 1
opening 1
opportunity 1
order 1
organizing 1
orlando 1
out 4
outdoor 1
over 2
own 1
pair 2
parking 1
part 1
parting 1
partly 1
partner 1
partners 1
party 1
passed 1
passes 1
patrol 1
payoff 1
pays 1
people 1
personal 1
phone 1
phony 2
photographer 1
pick 1
picked 1
plan 2
plus 1
police 1
pose 1
poses 1
posing 1
possessed 1
possible 1
pounces 1
preoccupied 1
present 1
problems 1
process 1
promising 1
prostitutes 1
pulled 1
punctuated 1
put 1
qualities 1
quickly 5
rabbit 1
rabid 1
reach 1
reaching 1
real 1
realize 1
recovers 1
redial 1
refuge 2
refugee 1
regain 1
relief 1
renders 1
repatriated 1
replacing 1
replica 1
rescued 1
respect 1
rest 1
restarts 1
resumes 1
retreats 1
retrieve 1
return 3
returns 1
revenge 1
reviving 1
revolver 1
rite 1
roaming 1
roof 2
roofing 4
room 1
rourke 6
routine 1
run 1
sacrifice 1
salesman 1
same 2
santeria 1
savagely 1
scam 10
scene 1
scientology 1
score 1
search 1
searching 1
second 2
seduces 1
see 2
sees 1
sent 1
service 1
settlement 1
shadow 1
sharper 1
she 1
shock 1
shoot 1
shooting 2
shot 1
shotgun 1
shown 1
sight 1
signature 1
sites 1
situation 2
skeleton 1
skink 8
skull 1
slice 1
snapper 26
snatched 1
some 1
something 1
sometime 1
soon 1
south 2
spike 1
stalks 1
stay 1
stays 1
steals 1
steer 1
stichler 5
stole 1
stolen 2
stop 2
store 2
substandard 1
sudden 1
sure 1
surprise 1
survives 1
tail 1
take 1
taken 2
takes 1
targets 1
teach 1
temper 1
ten 1
than 1
thanks 1
that 8
the 81
their 5
them 8
there 2
these 1
they 4
things 1
thinking 1
this 2
thousand 1
threatens 1
three 2
through 5
throughout 1
tile 7
time 3
to 58
tony 4
torres 10
tourist 1
track 2
tracks 1
traffic 1
trailer 2
tranquilizer 3
transfers 1
travel 1
treating 1
trooper 4
truck 1
two 3
unceremoniously 1
uncle 1
unconscious 1
under 3
unfortunately 1
unknown 1
