16914694
/m/04120wm
/m/04120wm
Kate Thompson
1999
100 1
a 18
abandon 1
abandoning 1
ability 1
about 4
abroad 1
accepts 1
adamant 1
adapting 1
after 2
again 1
agreed 1
agrees 6
all 3
allowing 1
along 1
an 5
ancestors 1
ancient 1
and 32
angered 1
animal 1
animals 1
another 1
anything 1
anywhere 1
are 4
area 2
around 1
arrive 1
as 11
asks 2
at 5
aunt 1
away 1
back 1
banished 1
be 2
become 2
becomes 2
becoming 1
been 1
before 1
belief 1
ben 1
between 1
birthday 3
borne 1
both 1
boy 2
brians 1
broke 1
brother 4
bulben 1
but 5
by 3
call 1
can 1
cat 5
causing 1
chance 1
change 1
children 6
choice 3
chooses 2
claiming 1
claims 2
colms 1
come 1
commands 1
complete 1
condition 1
considered 1
considering 1
contract 1
control 1
corpse 1
could 1
cousin 1
cousins 6
crag 1
d 1
danaan 2
dancing 1
days 3
dazzled 1
de 1
decides 1
declan 23
declines 1
deirdre 2
descended 1
despite 1
destroyed 1
developer 2
development 1
did 1
didnt 1
disappearance 2
disappeared 2
discovers 2
disguise 1
do 1
down 1
each 2
easily 1
elses 1
enormous 1
enough 1
enrages 1
evacuation 1
even 1
ever 1
evermoredangerous 1
everything 1
experience 1
explain 1
explaining 1
explains 2
explores 1
extent 1
exterminator 1
face 2
fact 2
fairies 1
fairy 2
farm 2
father 2
feet 1
few 3
fifteenth 2
fight 1
figment 1
find 2
finds 4
flash 1
flute 1
for 5
forced 1
forever 1
form 1
forms 2
four 1
friend 5
from 3
furious 1
furthermore 1
fury 1
get 1
glamour 1
go 1
goes 1
going 1
had 1
happily 1
harassed 1
has 4
have 2
having 1
he 15
healed 1
help 1
her 25
heritage 1
herself 1
hesitated 1
hesitation 1
him 10
himself 1
his 12
holding 1
holds 1
homes 1
hope 1
hostage 1
hours 1
house 1
how 3
however 3
human 5
identifying 1
if 2
image 2
imagination 1
imagined 1
immortal 1
implicating 1
in 10
infested 1
informing 1
informs 1
inside 1
insists 1
intended 1
into 1
introduces 1
is 15
join 1
just 1
kevin 13
kidnapper 1
kidnapping 1
kind 1
know 1
knowledge 2
land 2
language 1
last 1
later 2
learn 1
learns 1
leave 2
let 1
life 2
light 1
like 2
live 1
long 2
longdead 1
loss 2
loves 1
lure 1
magical 1
make 1
manner 1
maurice 16
maurices 2
may 2
members 1
mentions 1
minutes 1
miss 1
missing 2
moment 2
moments 1
more 1
morning 1
mortal 1
moved 1
na 1
near 2
nearby 2
never 1
next 1
ng 1
not 5
nothing 1
objects 1
of 25
offer 1
offers 1
on 3
once 1
one 3
only 1
onto 1
order 1
ordered 1
orders 1
original 1
orla 4
orlas 1
other 3
out 3
pairs 1
parents 1
past 1
pause 1
pay 2
perceptions 1
person 1
pied 1
piper 1
planning 1
playing 1
police 1
poses 1
possess 1
possibilities 1
powers 2
presence 1
pretending 1
previously 1
prior 1
promise 1
promises 2
proof 1
property 1
protect 1
protests 1
provides 1
pull 1
race 1
rat 5
rats 5
realises 1
recognises 1
recovers 1
rejection 1
remain 2
remained 1
reminds 1
resented 1
retain 1
return 2
returning 1
reveal 1
reveals 1
rid 1
ride 1
rides 1
rift 1
rockface 1
safely 1
saw 1
searching 1
see 3
seemingly 1
sell 3
send 1
sets 2
she 11
shocked 1
should 1
show 1
showing 1
sidhe 1
silence 1
similar 1
simply 1
since 2
situation 1
so 1
someone 1
sorrow 1
sort 1
speak 2
speaks 1
spent 2
standing 1
statements 1
states 1
straight 1
suddenly 1
suggestion 1
summons 1
supernatural 1
surprised 1
switch 1
switchers 2
tail 1
takes 1
telepathic 1
tells 2
terrifies 1
tess 23
than 1
that 24
the 58
their 12
them 3
then 1
therefore 2
they 7
this 3
three 1
through 3
time 1
to 46
tr 1
tracks 1
transform 1
transformation 1
transmits 1
traumatised 1
true 1
tuatha 2
twenty 1
twin 2
uncle 5
unfortunately 2
up 2
used 1
using 1
various 1
waits 1
walking 1
was 1
weather 1
well 1
went 1
were 1
what 1
when 7
where 2
which 8
while 1
white 1
who 3
why 1
wife 1
will 1
wind 2
with 10
within 1
wood 1
woods 5
words 1
work 1
world 3
would 2
wrong 1
years 1
yearsold 1
younger 1
youth 1
