30863897
/m/07j430
/m/07j430
Steve Erickson
1999
1 1
168 1
a 9
accepts 1
according 1
ad 2
after 3
all 1
an 1
and 4
angeles 1
angie 4
answers 1
apocalyptologist 1
as 2
at 1
back 1
be 1
become 1
bedroom 1
before 1
begins 1
behind 1
busy 1
by 3
calendar 1
calls 1
carl 3
clear 1
climactic 1
crisis 1
dancer 1
daughter 1
defense 1
define 1
defines 1
disappeared 1
drawing 1
dropout 1
end 1
ending 1
endofthecentury 1
event 1
events 1
evolves 1
films 2
flies 1
following 1
for 2
girl 1
goes 1
gone 1
has 2
he 3
hear 1
her 2
him 1
himself 2
hired 1
his 5
house 1
immediately 1
in 5
involvement 1
irrational 1
is 9
it 1
japanese 1
job 1
kristin 2
language 1
lap 1
leads 1
live 1
looking 1
los 1
louise 2
man 1
maps 1
may 1
meet 1
met 1
mitch 3
moment 1
mostly 1
name 2
new 1
next 1
novel 4
occupant 5
of 7
on 2
pact 1
paris 2
partner 2
physicist 1
place 1
poetic 1
pornographic 1
produces 1
project 1
real 2
reconnect 1
relationship 1
replaced 1
saki 1
saved 1
set 2
sexual 2
she 3
slave 1
snuff 1
starts 1
stories 1
story 4
takes 1
teenage 1
tell 1
tells 1
that 2
the 22
their 1
then 1
this 2
to 8
ultimately 2
unclear 1
understands 1
until 1
us 1
walls 1
we 1
when 1
where 2
which 4
who 4
whose 2
wife 1
will 2
with 1
work 1
working 1
written 1
yet 1
york 1
