13900991
/m/03cmp8q
/m/03cmp8q
Raymond Abrashkin

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 1
addition 1
all 1
also 1
an 1
and 8
are 2
as 4
at 1
automated 2
automatic 1
be 1
become 1
broken 1
bullfinch 1
but 1
cannot 1
controls 2
cousin 1
danny 2
days 1
debut 1
develops 1
does 1
everything 1
explore 1
fair 2
fake 1
food 2
for 1
friends 1
functions 1
future 1
go 1
have 1
his 1
house 3
housework 1
in 2
includes 1
inside 2
introduction 1
irene 2
is 1
it 1
items 1
joe 1
learn 1
locks 2
machines 1
no 1
normal 1
not 1
of 1
only 1
open 1
or 1
other 1
plans 1
preparation 1
professor 2
sample 1
science 1
seal 1
security 1
settings 1
standard 1
such 1
telephone 1
temperature 1
that 1
the 9
they 1
this 1
three 1
to 5
toddler 1
trapped 2
until 1
upcoming 1
washing 1
well 1
were 1
which 1
windows 1
with 1
