7114118
/m/0h4v7p
/m/0h4v7p
Fyodor Dostoyevsky

a 16
about 3
accept 1
advertise 1
after 1
again 1
also 1
always 1
an 5
and 17
apparent 1
apparently 1
arguments 1
arrangements 1
arranging 1
as 2
at 3
attempt 1
aunts 2
background 1
be 2
bed 1
befallen 1
begins 1
being 1
between 1
boulognesurmer 1
brain 1
bringing 1
bursts 1
but 1
buys 1
care 1
changed 1
closes 1
committed 1
communication 1
confronts 1
conquered 1
continues 1
contracts 1
convinced 2
cordially 1
could 1
countered 1
crowd 1
customers 1
day 3
days 1
dearth 1
death 1
decided 1
deliberation 1
delight 1
departure 1
details 2
develops 1
died 1
dire 1
disagreements 1
discovered 1
does 1
drove 1
duel 1
during 1
earn 1
effort 1
efimovich 5
else 1
ending 1
enough 1
entire 1
even 1
eventually 4
expense 1
eyes 2
fat 1
feet 1
fever 1
financial 1
finds 1
five 1
follows 1
for 4
former 1
frenzy 1
from 2
furtively 1
gave 1
gentle 1
girl 5
go 1
governess 1
greedy 1
habit 1
had 2
happens 1
has 2
having 1
he 11
her 8
him 1
his 27
holding 1
home 2
house 3
household 1
how 1
icon 1
in 11
interest 2
investigates 1
is 9
it 2
items 2
jumped 1
just 1
kisses 1
laid 1
late 1
later 1
learned 1
least 1
leaves 1
leaving 1
lifeless 1
listens 1
love 1
make 3
makes 2
man 1
marginally 1
marriage 3
marry 1
medical 1
member 1
mercy 1
met 1
minutes 1
miserly 1
moment 1
money 1
more 1
morning 1
much 2
narcissistic 1
narrator 26
newspaper 1
night 1
no 1
not 1
nowhere 1
of 12
often 1
on 1
once 1
one 2
only 1
opens 2
out 4
outside 1
over 1
own 1
owner 1
passports 1
pawned 1
pawns 1
pawnshop 2
people 1
pointed 1
presence 1
presumably 1
proceeds 1
promises 2
proposal 1
proposed 1
reader 1
readiness 1
reasonably 1
reclaims 1
recounts 1
recovers 1
references 1
regiment 3
relate 1
repeated 2
resulted 1
retire 1
return 1
returned 1
returns 2
revolver 2
run 1
same 1
see 2
seems 1
sense 1
separate 1
separately 1
several 1
shame 1
shameful 1
she 10
shoot 1
shopkeeper 2
should 1
simply 1
sing 1
situation 2
sixteen 1
slowly 2
spares 1
standing 1
started 1
storming 1
story 3
suicide 2
table 1
take 1
taxing 1
temple 1
than 1
that 11
the 51
they 2
though 1
throughout 1
time 1
to 23
too 1
tragedy 1
two 1
ultimately 1
unfazed 1
verbal 1
visiting 1
visits 1
was 4
watches 1
watershed 1
ways 1
were 3
when 2
while 1
who 1
wife 16
window 1
winter 1
with 7
worth 1
young 2
