22752263
/m/05zzkcm
/m/05zzkcm
H. R. F. Keating

{"/m/0lsxr": "Crime Fiction"}
100000 1
a 19
abandoned 1
about 2
affairs 1
afterwards 1
against 2
ago 1
ahmedabad 1
an 2
and 16
anonymous 1
anything 1
apartment 1
approaches 1
arises 1
arjun 1
arranges 2
arrest 1
arrested 2
as 5
assigned 1
assistance 1
assistant 1
assists 1
at 2
attempt 1
attempts 1
bait 1
be 1
because 1
believes 2
black 1
blackmail 7
blackmailed 1
blackmailer 1
blackmailing 2
blackmails 1
bombay 1
bought 1
branch 2
break 1
bring 1
burns 1
but 6
buying 1
by 4
call 1
called 1
can 1
cannot 2
case 2
cash 1
chand 6
chiplunkar 13
claimed 1
commissariat 5
commissioners 1
computer 2
confidential 1
considers 2
convict 1
country 1
court 1
crime 1
daruwala 9
day 2
days 2
dead 2
deduces 1
demand 1
demands 2
did 2
disgrace 1
distinction 1
do 1
doctor 1
documents 1
does 1
dr 2
drug 1
edul 1
else 1
england 1
enquiries 1
entering 1
entry 1
escapes 1
everything 1
evidence 2
expose 1
famous 1
fate 1
feeling 1
find 1
finds 1
fires 1
flat 2
fled 1
following 1
for 4
force 1
found 1
freddy 2
from 1
funds 1
gangster 1
get 1
ghote 35
ghtoe 1
gives 1
go 1
goes 2
government 1
grant 1
guilty 1
gup 1
has 4
have 1
he 7
her 4
hidden 1
hideout 1
hides 1
hiding 1
him 3
himself 1
his 4
home 4
housebreaking 1
humanitarian 1
hundred 1
ignored 1
in 10
incriminate 1
india 1
indians 1
information 2
inside 1
inspector 3
insufficient 1
intends 1
internal 1
into 4
investigates 1
investigation 1
is 16
it 1
kersasp 7
keys 1
kill 1
lakh 1
learns 3
leave 1
leaves 1
leaving 1
locksmith 1
magazine 1
makes 1
mama 1
manager 1
market 1
matter 1
meet 1
meeting 1
merit 1
miss 5
mistry 4
money 1
more 1
morning 1
mr 6
murder 3
murdered 1
murderer 1
murders 1
narcotics 1
neighbour 1
newspaper 2
next 3
no 1
not 3
notorious 1
of 5
office 2
official 1
on 4
one 2
operation 2
opportunity 1
order 1
ordered 1
overdose 1
overhears 1
own 1
pass 1
pay 1
paying 1
payment 1
pays 1
people 2
perfect 1
phone 1
pipewalla 1
place 1
plans 1
points 1
police 1
possession 1
prime 1
private 1
progress 1
property 1
protima 1
purchased 1
push 1
raid 1
raise 1
ranchod 9
refuse 2
refuses 2
rejects 1
repeats 1
reported 1
requests 1
responsible 1
returns 4
reveal 1
ringleader 1
road 1
robbery 1
running 1
rupees 2
says 1
scientist 1
search 1
searches 1
sees 1
senior 1
servant 1
several 1
she 1
shiv 3
shup 1
singh 3
so 1
someone 1
son 1
soon 1
spite 1
spoken 1
spy 1
start 1
station 1
sting 2
submitted 1
suicide 1
suspect 1
swordstick 1
tabloid 1
team 1
television 1
tell 2
tells 3
testify 3
that 7
the 22
their 1
then 3
there 3
thesis 1
they 2
thirtyseven 1
this 2
threatening 1
to 25
told 1
train 2
transferred 1
truth 1
two 2
under 1
until 1
unwilling 1
usa 1
use 1
using 1
ved 2
victims 2
vigilance 1
waiting 2
waits 1
was 3
weeks 1
well 1
what 1
when 1
where 1
which 2
who 3
wife 1
will 2
with 3
without 1
witness 1
work 1
years 1
