11217561
/m/02r3znr
/m/02r3znr
John Webster

a 26
about 1
accompany 1
acknowledged 1
actually 1
after 2
again 2
agrees 1
all 2
allowing 1
almost 1
alone 1
altogether 1
amorality 1
an 2
and 33
angered 1
annabel 8
appalled 1
approach 1
are 3
as 8
at 5
attacked 1
attitude 1
away 1
baby 2
barren 1
be 3
beach 1
because 1
become 1
been 1
before 1
begetting 1
being 1
believing 1
belong 1
best 2
between 1
biological 1
bonvile 8
borne 1
boy 1
bracelets 1
break 1
brief 1
brings 1
broke 1
brotherinlaw 1
but 7
by 2
calais 2
captain 1
capture 1
career 1
celebrating 1
chastity 1
child 4
clare 10
command 1
compass 6
compelled 1
completely 1
confesses 2
conflict 1
confronts 1
conversation 1
correct 1
costs 1
crew 1
critics 1
cryptic 1
curt 1
customary 1
daughter 1
dead 1
dearest 2
death 1
decided 1
deeply 1
delays 1
desperate 1
despondent 1
destitute 1
dictates 1
die 1
dismisses 1
distressed 2
does 2
done 1
drop 1
duel 3
duelling 2
easy 1
effective 1
either 1
encounters 1
end 1
enemies 1
england 3
english 1
enlists 1
ethic 1
ethos 1
even 1
eventful 1
excuses 1
family 1
far 1
father 3
feels 1
field 1
fight 1
fighting 1
final 1
find 3
first 2
five 1
flush 1
follows 1
for 8
forgives 1
four 1
franckford 4
friend 6
friends 4
friendship 2
from 1
fumbles 1
further 1
gathering 1
gentlemanly 1
get 1
give 1
gives 1
go 1
gold 2
gosse 1
grabs 1
groom 3
guests 2
had 1
has 7
having 1
he 10
heir 1
her 14
hero 1
herself 1
hesitation 1
him 11
himself 2
his 18
home 1
honor 2
hopelessly 1
house 2
however 1
humane 1
if 1
illegal 1
illegitimate 1
immediately 1
in 19
insists 1
intended 2
intense 1
into 2
introduces 1
investing 1
investors 1
involve 1
is 17
issue 1
it 1
jealousies 1
jewelry 1
judge 1
justice 3
kill 2
killed 1
laissezfaire 1
law 1
lawyers 1
leads 1
leave 1
leaves 1
left 3
less 1
lessingham 14
like 1
link 1
liveandletlive 1
locked 1
long 1
lose 1
love 3
loves 1
luce 1
lucrative 1
madly 1
main 1
make 1
manages 1
maneuvers 1
marriage 2
master 1
may 2
mdash 5
meaning 1
men 3
menofwar 1
merchant 2
message 1
misunderstandings 1
misunderstood 1
mocktrial 1
modern 1
monetary 1
morally 1
mother 1
motive 1
must 1
my 1
named 2
nearby 1
nearest 2
necklace 1
needs 1
negates 1
new 2
night 1
not 6
nothing 1
now 1
obey 1
occasion 1
of 20
old 2
on 3
once 1
one 2
only 4
onto 1
open 1
opponent 1
opposite 1
other 1
out 4
over 1
own 1
palatable 1
paradoxically 1
parental 1
passion 1
passionate 1
paying 1
peace 1
people 1
perhaps 1
personally 1
pieces 2
planning 1
play 2
plot 1
plots 1
port 1
premise 1
preoccupation 1
primogeniture 1
prize 1
process 1
professed 1
promises 1
promising 1
prove 1
proving 1
quickly 1
rather 1
readers 1
reads 1
recognize 1
remove 1
renew 1
reproach 1
resistance 1
return 2
returns 3
reveals 1
rights 1
rob 1
rochfield 8
roof 1
rules 1
sailor 2
sake 1
same 1
satire 1
scene 1
sea 1
second 1
sends 2
separately 1
servant 1
service 1
she 6
ship 1
ships 1
since 3
sister 1
so 2
some 1
son 2
sort 1
spanish 2
start 1
straighten 1
strictures 1
subplot 2
suddenly 1
suggests 1
suit 1
suitor 1
support 1
surprised 1
swinburne 1
sword 2
taciturn 1
take 1
takes 1
tangle 1
tavern 1
tells 1
tend 1
than 2
that 13
the 53
thee 1
their 2
them 4
themselves 1
then 3
therefore 1
these 1
they 2
thief 4
this 4
thought 1
threaten 1
three 1
thy 1
till 1
time 1
to 28
trading 1
tries 2
true 3
trying 1
turn 1
turns 1
twenty 2
two 4
under 1
until 1
upkeep 1
urse 4
use 1
value 1
variety 1
venture 2
victim 2
victorian 1
virtue 1
vows 1
voyage 2
want 1
wants 1
was 3
wealth 1
wedding 6
well 1
when 3
who 3
wife 1
will 1
win 1
wise 1
with 12
withdrawn 1
without 2
woodroff 7
woods 1
word 2
would 1
wouldbe 1
year 1
years 1
yet 1
young 1
younger 1
