5024580
/m/0c_crm
/m/0c_crm
Buzz Aldrin

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 6
also 2
although 1
altitude 1
an 2
and 3
apparently 1
are 1
as 1
attempt 3
basketball 1
be 1
board 1
bomb 2
book 2
booking 1
by 2
carrying 1
cash 1
character 1
charges 1
china 1
chinese 1
chronicles 1
closely 1
corporation 1
crew 2
current 1
damaged 1
daring 1
death 1
detailing 1
die 1
discovered 1
down 1
dropped 1
during 1
emergency 1
empty 1
everyone 1
exploration 1
explosion 1
flight 2
flights 1
for 1
forced 1
found 1
goes 1
heavily 1
heroes 1
high 1
however 1
in 4
industry 1
initially 1
international 1
into 1
is 5
iss 1
it 1
jordan 1
landing 1
later 1
launch 1
leaves 1
make 1
michael 1
mj 3
most 2
mostly 1
network 1
new 1
nuclear 1
of 6
off 1
on 3
out 1
over 1
pakistan 1
people 1
pilot 1
player 1
preparing 1
presence 1
prototype 1
purpose 1
rescue 2
resembling 1
responsible 1
rest 2
result 1
retired 1
returns 1
satellites 1
save 1
seats 1
send 1
set 1
shuttle 2
something 1
space 7
starts 1
station 1
still 1
success 1
such 1
sued 1
take 1
that 3
the 20
their 1
them 1
theoretical 1
third 1
this 1
those 1
to 9
using 1
vehicles 1
was 3
weapon 1
when 1
while 1
whole 1
wipe 1
with 1
works 1
wrong 1
