13585745
/m/03cb5qk
/m/03cb5qk
Flannery O'Connor
1955
a 17
about 4
accident 2
accomplice 2
accomplices 1
across 1
act 1
adventure 1
after 1
again 2
agrees 2
all 1
almighty 1
almost 1
an 9
and 18
angry 2
any 1
anyway 1
are 2
as 7
assertion 1
at 2
attempts 1
away 1
babies 2
bailey 3
be 3
become 1
becomes 2
been 3
begins 2
believe 1
below 1
bespectacled 1
best 1
better 1
britches 1
but 2
by 5
can 1
car 4
casting 1
cat 1
catches 1
causing 1
child 1
children 5
christ 1
christian 1
christianity 1
christianthat 1
clean 1
cohorts 1
come 1
comes 1
commenting 1
comments 1
complaining 1
concluding 1
connection 1
conscience 1
continuously 1
conversation 2
converted 1
convict 2
cute 1
days 1
detour 1
did 1
die 1
diner 1
directions 2
dirt 1
displease 1
ditch 1
does 3
doesnt 2
door 1
doubt 1
down 1
dressed 1
during 1
early 1
echoes 1
end 1
engages 2
escaped 2
every 1
evidence 1
evoke 1
excited 1
exclaims 1
exist 2
existence 1
fact 1
fakes 1
fallen 1
family 9
fascinated 1
father 2
figure 1
finally 2
find 2
finishes 1
flattering 1
flip 1
florida 3
flustered 1
follow 1
for 6
from 2
fun 1
genuinely 1
georgia 1
get 1
getting 1
given 1
glasses 2
go 2
god 1
goes 1
good 3
grace 1
grandmother 11
grandmotherthrough 1
guns 1
had 3
hard 2
has 2
have 2
having 1
he 12
hearing 1
help 1
her 12
herself 1
herselffor 1
him 2
his 7
holy 1
home 2
house 2
human 1
humbles 1
idea 1
identifies 1
if 3
ignores 1
in 14
increase 1
indeed 1
informed 1
initiates 1
injury 1
inspect 1
instead 1
instructs 2
internal 1
is 7
it 4
jesus 1
killing 1
known 2
lady 1
last 1
lead 1
leader 1
legitimacy 1
let 1
life 4
little 1
lunch 1
man 3
manwoman 1
may 2
meanness 1
men 1
metaphorically 1
minute 1
misfit 11
moment 1
more 1
murder 1
murderer 2
murdering 1
my 2
nearby 1
no 4
nor 1
not 4
oconnor 2
of 10
old 2
on 4
one 4
only 1
out 2
own 4
owner 1
panicked 1
panics 1
parents 1
part 1
passages 1
people 1
pester 1
phony 1
physical 1
pickaninny 1
pleading 1
pleas 1
pleasure 2
polite 1
probably 1
properly 1
pulls 1
reaches 1
real 1
realizes 1
realizing 1
recalling 1
receive 1
recognized 1
recoils 1
red 1
remarks 1
respectful 1
return 1
right 1
road 3
role 1
sammy 2
saving 1
says 3
secret 1
serving 1
settled 1
shack 1
she 15
shirt 1
shirtless 1
shoot 1
shoots 1
shot 1
should 1
sight 1
so 1
somebody 1
son 2
south 1
speechless 1
spirit 1
spites 1
states 1
stops 1
stories 1
story 1
such 1
suddenly 1
sunday 1
symbolically 1
sympathy 1
takes 1
talks 1
telling 1
tells 1
tennessee 2
than 1
that 14
the 53
their 3
them 3
then 1
thenas 1
there 2
they 3
theyve 1
things 1
this 2
those 1
though 1
three 3
times 1
to 22
toldhe 1
touches 1
traditional 1
trip 1
trying 1
unnamed 1
until 2
up 3
upon 1
upsets 1
used 1
vacation 1
various 1
very 1
view 3
violence 1
visibly 1
visit 1
visited 1
waiting 1
waits 1
want 4
waste 1
waving 1
wearing 1
what 1
when 5
which 1
who 2
why 1
will 1
with 3
witness 1
woman 1
would 1
youre 2
youth 1
