2686392
/m/07xz3r
/m/07xz3r
Mary Stewart
1973
a 14
accompanied 1
adhjan 1
advice 1
after 3
against 1
allows 1
also 1
altar 2
ambrosius 1
an 3
ancestor 1
and 12
another 2
arranging 1
arthur 7
as 8
assembled 1
at 2
aurelius 1
avoid 1
back 1
battle 1
be 3
bears 1
beautiful 1
becomes 2
bedwyr 1
before 1
beginning 1
being 1
believe 1
believes 1
beneath 1
book 1
born 1
boy 1
boys 1
britain 1
brother 1
but 2
by 2
caliburn 2
came 1
cave 1
cei 1
center 1
chalice 1
challenge 1
chapel 2
chapters 1
child 2
commits 1
conceived 1
conception 2
constantinople 2
count 1
cousin 1
covers 1
crowned 1
curious 1
death 1
decisive 1
depicted 1
deserted 1
discovers 1
disguise 1
draws 1
dream 1
duchess 1
ector 1
especially 1
facing 1
father 1
finds 1
first 2
fitness 1
for 2
forth 1
fosterbrother 1
friend 1
from 5
galava 1
gives 1
god 1
goes 2
has 1
have 1
he 10
healing 1
heir 1
her 1
hermit 1
hidden 2
hide 1
hiding 1
high 2
himself 1
his 6
host 1
human 1
illusion 1
in 13
injured 1
insecure 1
inspired 1
into 1
invading 1
is 7
island 1
it 2
king 3
known 2
lake 1
later 2
laying 1
leader 1
learns 2
legends 1
legitimate 1
like 1
macsen 2
macsenhis 1
magnus 1
making 1
man 1
mating 1
maximus 1
merlin 11
merlinhidden 1
misdirection 1
mithras 1
moment 1
moravik 1
morning 1
named 1
naming 1
next 1
no 1
nobility 1
north 1
not 1
novel 1
nurse 1
obscure 1
of 14
off 1
offerings 1
old 1
on 4
one 1
only 1
opens 1
or 1
order 1
ordinary 1
other 1
out 1
overly 1
own 1
parentage 1
pendragon 3
people 2
perilous 1
place 2
possessed 1
proof 1
prophetic 1
providing 1
receive 1
religion 1
rest 1
result 1
retinue 1
returns 2
revealed 1
ride 1
roman 1
said 1
saxons 1
search 1
sends 1
servants 1
sets 1
shapechanging 1
she 2
shrine 2
small 1
some 1
son 2
spearhead 1
sword 5
taken 2
takes 1
temple 1
that 3
the 28
this 4
those 1
time 1
to 22
trained 1
travels 1
trouble 1
tutor 1
twentytwo 1
two 1
until 1
upbringing 1
uther 4
version 1
victory 1
wales 1
war 1
was 4
wellmade 1
whatever 1
when 2
which 3
who 2
whose 1
willing 1
win 1
wishes 1
with 2
wledig 2
would 1
years 2
ygraine 1
