17038015
/m/0416dhm
/m/0416dhm
Diana Abu-Jaber

a 9
able 1
about 1
accompanied 1
actions 1
affluent 1
after 1
allowing 1
along 1
america 2
american 3
americanborn 1
and 23
arabian 1
are 3
as 1
at 1
attempting 1
aunt 2
back 1
backyard 1
bar 1
being 1
bizarre 1
both 3
broken 1
brotherinlaw 1
but 4
by 1
career 4
cars 1
clarity 1
class 2
clearly 2
comfort 1
comfortable 1
concerns 1
conform 1
contemplating 1
conventions 2
created 1
crisis 1
cultural 2
culture 4
customs 1
dating 1
daughters 8
death 1
deceased 1
desires 2
devoid 1
devoted 1
diapers 1
discover 1
disgraced 1
does 1
down 1
drum 1
dumping 1
east 1
eastern 2
effect 1
embarrassing 1
emotions 1
environment 1
family 1
familys 1
father 2
fatima 3
feel 1
feels 2
fill 1
find 5
finds 1
focuses 1
follow 1
for 4
forgets 1
found 1
garbage 1
gossip 1
ground 1
happenings 1
happy 1
has 4
have 1
hazardous 1
he 3
her 11
herself 1
his 14
hobby 1
house 2
ideal 1
identities 1
identity 1
immigration 1
in 9
is 6
islamic 1
it 3
jazz 1
jemorah 4
jemorahs 1
jordan 3
journey 1
journeys 1
life 3
liters 1
lives 1
local 2
loving 1
low 1
makes 1
making 1
married 1
matusseum 5
matusseums 2
melvina 4
merged 1
middle 4
midst 1
mimics 1
mission 1
mixed 1
most 1
mother 1
motherland 1
music 2
natural 1
neighborhood 1
neither 2
new 2
nieces 1
nor 2
not 4
novel 2
nurse 1
obsesses 1
of 11
older 2
on 3
only 2
oriented 1
over 1
path 1
peace 1
personal 1
place 2
playing 1
process 1
proper 1
providing 1
quite 2
ramond 1
ramouds 1
rather 1
reside 1
roles 1
rundown 1
running 1
satisfying 1
seem 1
set 1
sewage 1
she 1
similar 1
simultaneously 1
sister 4
somewhat 1
still 2
stronghold 1
struggle 1
struggles 1
struggling 1
stuck 1
successful 1
suitable 1
suitors 1
surrounded 1
system 1
that 7
the 21
their 7
them 1
themselves 1
this 3
those 1
thought 1
through 1
throughout 1
thus 1
to 11
tone 1
too 2
traditions 3
trailers 1
trends 1
two 3
unlike 1
values 1
versus 1
void 1
was 2
waste 1
water 1
well 1
western 1
when 1
widowed 1
wife 2
with 7
within 2
yet 3
younger 1
