14062078
/m/03cscss
/m/03cscss
Kim Newman
1995
a 1
allan 1
also 1
an 1
and 2
are 1
around 1
as 2
assigned 1
attempt 1
autobiography 1
baron 2
book 1
caligari 1
centers 1
club 1
diogenes 1
doctor 2
during 1
edgar 1
efforts 2
features 1
flier 1
fliers 1
german 1
germany 1
ghost 1
heading 1
i 1
investigate 1
is 1
known 1
likes 1
mabuse 1
make 1
more 1
of 2
one 1
operations 1
place 1
poe 1
powerful 1
red 2
rotwang 1
story 1
successful 1
takes 1
the 7
their 1
to 3
undead 2
up 1
vampire 1
war 1
world 1
write 1
writer 1
