16252603
/m/03wf2vj
/m/03wf2vj
Sue Grafton
1996
a 3
after 1
and 4
at 1
attractive 1
back 1
be 1
been 3
before 1
best 1
black 1
boys 1
brothers 1
but 1
by 2
changed 1
cope 1
days 1
death 1
decades 1
deserve 1
did 1
dietz 1
do 2
down 1
especially 1
family 1
far 1
father 2
feel 1
finally 1
find 1
followed 1
for 1
from 1
guy 1
had 5
has 1
he 1
heard 1
helped 1
her 2
hidden 1
him 2
hired 1
his 6
in 2
investigator 1
is 2
kinsey 3
life 2
lives 1
malek 3
man 1
millhone 1
millions 1
multimillionaire 1
murder 1
neerdowell 1
never 1
noncommitting 1
not 4
of 5
opens 1
out 1
own 1
patience 1
personal 1
previous 1
private 1
problems 1
radically 1
reappearance 2
rebel 1
relationship 1
robert 1
same 1
seems 1
share 1
she 1
sheep 1
since 1
taking 1
the 10
their 1
they 1
thrown 1
time 1
to 3
too 1
tracks 1
tried 1
trying 1
twenty 1
unlikeable 1
up 1
want 2
which 1
who 1
whom 1
with 2
within 1
wounds 1
years 1
yet 1
