6216956
/m/0fx9dv
/m/0fx9dv
Scott Smith
2006-07-18
a 23
accidentally 1
accompany 1
acid 1
acidic 2
acting 1
actionoriented 1
adults 1
advantage 1
afraid 1
after 3
alive 1
almost 1
alone 1
already 3
also 2
always 1
american 1
americans 1
among 1
amy 9
an 4
and 28
angrily 1
any 1
anyone 2
approach 1
approaching 1
archeological 1
are 3
armed 1
around 3
arrive 1
arrow 1
as 6
asks 1
at 2
attempt 1
attempts 2
awakes 1
away 1
back 5
backboard 1
bag 2
bare 1
be 1
becomes 1
been 1
before 1
befriend 1
begins 1
being 1
believes 1
best 1
bike 1
bloody 1
body 8
bottom 2
bow 1
boy 3
boyfriend 1
brazilian 1
broken 1
brother 1
burns 1
bury 1
but 5
by 5
calling 3
calmly 1
camp 2
campfire 1
can 1
cell 3
check 1
climb 1
clothes 1
comes 1
confronts 1
consciousness 1
contain 1
convinced 1
convinces 1
covered 1
criticisms 1
criticize 1
curled 1
cut 1
cutting 1
days 1
dead 3
die 2
dig 1
discover 4
discovers 2
disguised 1
disturbed 1
does 1
don 1
down 5
drunk 1
drunkenly 1
earth 2
eaten 1
effort 1
else 2
embedded 1
emerges 1
entire 1
eric 5
escape 1
especially 1
everyone 1
explores 1
falling 2
few 1
fight 1
find 4
followed 2
food 1
for 1
force 1
formed 1
four 1
friend 1
from 4
full 1
german 1
get 2
girl 1
girlfriend 1
girlmdashwho 1
go 2
greeks 2
group 5
had 3
halfway 1
hands 1
harddrinking 1
has 2
have 5
he 6
head 1
heads 2
hear 2
heard 1
hearing 2
hed 1
heinrich 4
her 8
herself 1
hill 13
him 5
himself 2
his 11
horseback 1
however 1
ignores 1
ignoring 1
imitate 1
in 9
increasingly 1
infested 2
inserting 1
intending 1
intent 1
into 4
is 7
it 3
itself 1
jeff 11
joins 1
juan 1
kill 1
killing 1
knife 1
large 1
later 2
laughing 1
leading 1
leads 2
leaves 1
leg 2
levelheaded 1
little 2
loses 1
lower 1
made 3
makeshift 1
man 1
mathias 2
matthias 3
mayan 1
mayans 3
medical 1
men 1
met 1
mexico 1
mine 2
morning 2
most 1
moving 1
much 2
name 2
named 1
nastily 1
near 1
new 1
next 2
nicknames 1
night 3
noise 1
not 1
now 1
of 19
off 1
on 9
one 1
onto 1
open 1
or 1
other 2
out 2
overgrown 2
pablo 6
path 2
perimeter 1
phone 3
pit 1
plants 2
pleading 1
prevent 1
pull 2
pulled 2
quickly 1
quixote 1
rainstorm 1
raises 1
reach 1
ready 1
realize 1
realizes 2
received 1
remove 1
repeat 1
rescuing 1
retrieve 1
return 1
returns 1
ring 1
rope 3
run 1
rural 1
salted 1
same 1
sap 1
seal 1
search 1
seats 1
seeing 1
sending 1
sentinel 1
shaft 4
she 3
shoot 1
shot 1
sign 1
six 1
sleeping 1
slits 1
snaps 1
so 1
some 1
someone 1
soon 2
sound 1
sounds 2
spanish 1
spores 1
spread 1
stabs 1
stacey 5
stacy 1
stay 1
strays 1
studentmdashare 1
suffocating 1
surmises 1
surrounded 1
taking 1
telling 1
tent 1
tents 1
that 13
the 81
their 3
them 6
themselves 1
then 2
they 15
those 1
to 27
top 2
torrential 1
tourist 1
tourists 2
touristsmdasheric 1
tow 1
trail 2
trio 1
two 1
underbrush 4
up 4
use 1
vacationing 1
village 3
vine 1
vinecovered 1
vines 18
vomiting 1
waits 1
warning 2
warnings 1
wasmdashruns 1
watching 1
water 1
weakened 1
were 1
which 7
while 1
who 8
will 2
windlass 1
with 8
without 1
wound 2
wrists 1
writhing 1
young 1
yucatan 1
