26578648
/m/0bh9vwr
/m/0bh9vwr
Robert B. Parker
2009
{"/m/0lsxr": "Crime Fiction"}
a 17
able 1
about 5
accuse 1
accused 1
acting 1
actually 1
admits 1
after 4
agrees 3
all 4
alone 1
along 1
also 5
although 1
always 1
an 3
and 26
another 2
any 2
anyone 2
anyway 1
are 2
arrest 1
as 7
asks 1
at 7
attack 5
attacked 1
attacks 2
attention 1
attire 1
attorney 1
be 4
because 2
become 2
been 2
before 1
begin 3
begins 4
being 1
believes 2
belittling 1
betsy 6
betsys 1
blasting 1
break 1
breaking 1
breaks 1
brother 1
but 10
by 3
calls 2
can 4
cannot 1
care 1
character 1
charge 3
cheats 1
civil 1
claims 2
class 1
close 1
club 3
combine 1
comes 2
concerning 1
confirm 1
confronts 1
constantly 1
continues 1
convinced 2
convincing 1
cop 1
corresponds 1
could 1
crime 1
crimes 1
dance 1
day 1
days 1
decides 1
decoy 1
demands 1
denied 1
detailing 1
details 1
determines 1
did 3
dilemma 1
discover 1
discovers 4
disfuse 1
do 2
doctoral 1
doctorate 1
does 3
doing 1
dr 1
dresses 1
dumb 1
education 1
end 1
english 1
ensure 2
escalate 1
escalates 1
even 2
explains 1
exploits 1
fears 1
few 1
figured 1
find 2
finds 1
fired 1
for 8
forces 1
forcing 1
from 3
front 1
full 1
further 1
get 4
girls 7
gives 1
going 1
grad 1
grow 1
growing 1
gun 3
gunpoint 1
hands 1
has 3
hate 1
have 1
hawk 13
he 31
hear 1
help 1
her 26
high 2
him 6
himself 1
hint 1
hints 1
his 11
home 4
homes 1
honest 1
host 1
house 2
however 1
husband 8
identify 1
if 4
illegal 1
in 7
inadvertently 1
includes 1
information 1
ingersoll 4
interest 1
interview 1
interviewing 1
into 3
investigate 1
investigation 4
involves 1
is 18
it 7
jesse 25
job 2
kill 1
killed 1
knew 1
know 1
ladies 1
later 5
leave 1
leaves 1
left 1
letter 2
life 1
lifestyle 1
likes 1
little 1
local 1
longterm 1
love 1
main 1
make 1
making 1
married 1
may 1
meanwhile 1
media 1
middle 1
missing 1
molestation 1
molly 5
mollys 1
moral 1
more 2
mother 1
must 1
nearby 1
never 4
next 1
night 15
no 1
not 8
novel 1
nude 3
obsession 1
of 18
office 1
often 1
on 4
one 4
only 4
out 5
panties 2
paradise 1
parents 1
parker 1
parties 1
peeping 3
photo 2
photos 2
plot 1
point 1
police 2
posing 1
powered 1
pressure 1
principal 4
professor 1
proper 3
pull 1
purpose 1
putting 1
questions 2
quit 1
raises 1
ralston 5
ralstons 3
randalls 1
receives 3
report 1
reports 3
request 1
responds 1
reveal 1
rights 1
ruining 1
same 1
says 1
school 3
searching 1
secret 2
see 4
sends 1
set 1
seth 3
several 3
she 19
shoot 2
shot 1
shrink 1
silverman 1
since 2
singling 1
situation 1
sluts 2
slutty 1
so 2
some 1
someone 1
something 2
soon 2
speaking 1
spenser 1
spike 1
staged 2
stake 1
starts 1
stop 1
stopped 1
strapped 1
stripping 1
student 1
suit 6
sunny 1
surprised 1
suspect 1
swingers 4
swinging 3
taking 1
talk 1
targeting 1
teach 1
teaching 1
teenage 1
telling 1
tells 1
that 31
the 48
their 5
them 4
then 5
there 2
these 1
they 6
thigh 1
thinks 1
this 3
threaten 1
three 2
tied 1
time 2
to 35
tom 3
touch 1
touches 1
town 1
trouble 1
truth 1
trying 1
two 1
uncharacteristically 1
undress 1
unit 1
university 1
until 1
up 2
used 1
victim 1
violated 1
voyeuristic 1
waits 1
wants 1
warns 1
was 4
watch 1
wearing 2
wednesday 1
well 1
were 2
what 1
which 3
while 1
who 3
whom 1
wife 5
will 6
wire 1
with 14
woman 2
womans 1
women 4
womens 1
work 1
working 1
writes 3
writing 1
young 2
