12200164
/m/02vvlsz
/m/02vvlsz
Gudrun Pausewang
1983
{"/m/06n90": "Science Fiction"}
12year 1
13 1
a 9
after 2
afterwards 1
alive 1
and 8
are 1
arrives 1
assistance 1
assume 1
at 6
attack 3
been 2
beginning 1
bonames 1
boy 1
brother 1
but 1
by 2
children 2
civilized 1
clarified 1
cold 1
conclusion 1
describe 1
destroyed 1
die 1
district 1
does 1
during 1
end 1
ending 1
entire 1
explosion 2
eyes 1
fact 1
family 2
father 1
final 1
finds 1
first 1
frankfurt 1
from 2
fulda 1
germany 1
gradually 1
grandparents 2
group 1
happy 1
have 3
his 3
house 1
illnesses 1
in 7
including 1
is 2
it 1
journey 1
killed 1
last 1
later 1
may 1
members 1
months 1
mostly 1
mother 1
nearly 1
never 1
newborn 1
no 1
not 1
novel 1
nuclear 2
of 12
old 1
only 1
oppressive 1
or 1
orphaned 1
other 1
outside 1
paragraphs 1
parents 1
parts 1
perish 1
person 1
place 1
plot 1
present 1
probably 1
radiation 1
refuge 1
remain 1
roland 4
schewenborn 2
shortly 1
sibling 1
sickness 1
similar 1
sister 1
sisters 1
situation 1
small 1
start 1
starts 1
story 2
suggest 1
surprised 1
survivors 1
take 1
takes 1
that 3
the 24
there 1
they 2
this 3
time 2
title 1
to 3
told 1
too 1
travels 1
until 1
visit 1
war 1
weeks 1
were 2
who 3
whole 1
will 1
with 1
without 1
world 1
writing 1
years 1
young 1
