13490098
/m/03c70yb
/m/03c70yb
Roberto Bolaño
2004
{"/m/05hgj": "Novel"}
00 1
120 1
13 1
17 1
2600 1
2666 3
300 1
a 8
about 12
africanamerican 1
after 2
all 1
also 1
although 1
amalfitano 3
american 1
amulet 1
an 3
and 6
another 1
appearances 1
archimboldi 4
are 1
around 2
as 2
asked 1
at 1
attempts 1
author 2
be 2
became 1
because 1
becomes 1
been 1
benno 1
biblical 1
bolao 1
book 2
border 1
born 1
boxing 2
but 1
by 1
careers 1
caught 1
cemetery 1
cesrea 2
change 1
chronicles 1
city 2
ciudad 1
come 1
concentrates 1
concern 1
contention 1
cover 1
creation 1
crimes 3
critics 3
cryptic 1
date 2
daughter 1
days 1
death 1
degrees 1
depicts 1
describes 1
desk 1
despite 1
detectives 1
dozens 1
eastern 1
effort 1
egypt 1
elusive 1
european 1
exists 1
exodus 1
explains 1
fate 3
fears 1
figure 1
five 2
follows 2
for 3
force 1
forged 1
four 1
from 3
front 1
fruitless 1
furthermore 1
german 2
grim 1
group 1
hans 1
has 1
have 2
having 1
henry 1
her 1
his 4
hitchings 1
how 1
however 1
hundred 1
identified 1
in 17
interest 1
interested 1
is 7
it 3
its 2
jokes 1
journalist 1
jurez 1
knowing 1
last 1
leads 1
life 1
like 1
line 1
linked 1
literary 1
little 1
looking 1
magazine 1
makes 1
manuscript 1
many 1
match 1
meant 1
mentally 1
mexican 2
mexico 1
moment 1
more 1
mostly 1
murders 3
mysterious 2
named 1
no 2
nobel 1
noted 1
novel 5
novelist 1
novels 1
number 1
of 19
on 2
one 2
oscar 2
other 1
pages 1
part 10
particular 1
parts 1
perhaps 1
philosophy 1
place 1
police 1
poor 1
primary 1
prize 1
professor 1
provincial 1
prussia 1
qualities 1
redemption 1
reference 2
reiter 1
rescued 1
reveals 1
road 1
said 1
santa 5
savage 1
search 1
section 1
sent 1
she 1
six 1
soldier 1
solve 1
something 2
sometime 1
sonora 1
spiritual 1
subject 1
supposed 1
taken 1
teacher 1
teresa 5
than 1
that 1
the 47
their 3
them 1
there 3
they 1
this 5
thousand 1
times 1
title 3
to 10
town 1
two 1
typical 1
ultimately 1
uneducated 1
university 1
unsolved 1
unstable 1
up 1
upwards 1
varying 1
very 1
violence 1
vital 1
von 1
was 2
what 1
when 1
who 3
why 1
will 1
with 1
women 2
works 1
would 1
writer 1
year 2
years 2
young 1
