12395051
/m/02w311_
/m/02w311_
Alan Weisman
2007-07-10
{"/m/05h83": "Non-fiction"}
153 1
174 1
186 1
200 1
27 1
5 1
500 1
a 13
abandoned 3
admits 1
advance 1
after 2
ago 1
all 1
also 1
aluminum 1
an 2
and 32
animals 1
any 1
apart 1
are 3
area 1
areas 1
around 1
articles 1
artworks 1
as 5
at 3
atmosphere 1
atoll 1
available 1
away 1
backing 1
base 1
be 6
because 1
been 1
begin 1
behind 1
biaowiea 1
bibliography 1
biologist 1
book 2
botanical 1
bottom 1
breaking 1
bringing 1
bronze 1
built 3
but 3
by 3
canal 1
cant 1
cappadocia 1
cappadocian 1
carbon 1
cave 1
centuries 1
ceramics 1
change 1
chapter 1
chapters 2
chernobyl 1
church 1
cities 4
city 1
civilization 1
climatic 1
clog 1
cockroaches 1
coda 1
cohesive 1
collapse 2
come 1
common 1
complete 1
compromise 1
conceals 1
conceive 1
concentrations 1
concludes 2
conservation 1
considering 1
considers 2
constant 1
construction 1
consumptive 1
continue 1
contrasts 1
cookware 1
corridors 1
could 4
countries 1
crash 1
create 1
criticism 1
crumble 1
cyprus 1
damage 2
damn 1
dams 1
deal 1
deals 1
deconstruct 1
dedicated 1
demand 1
demilitarized 1
demise 1
demographic 1
demonstrate 1
describing 1
developed 2
did 1
die 1
dioxide 1
disappearance 1
disaster 1
discussion 1
dishwasher 1
divided 1
does 1
douglas 1
draconian 1
driven 1
due 1
e 1
each 1
earth 2
earthquake 1
economic 1
employees 1
end 1
entrenched 1
environment 4
environmental 1
erode 1
erodes 1
erwin 1
ethics 1
euthanasia 1
even 1
eventual 1
eventually 1
evidence 2
evolution 1
evolve 1
examined 1
exists 1
experiment 1
explains 2
explanations 1
extinction 2
extrapolates 1
extremely 1
facilities 1
fall 1
fate 1
fates 1
federation 1
few 1
finds 1
flashings 1
flood 1
food 1
for 5
foreign 1
foresee 1
forest 1
forms 1
from 10
future 1
gardens 1
golden 1
growing 1
growth 1
habitats 1
handles 1
hard 1
harder 1
have 2
he 9
heavy 1
his 1
house 1
housing 1
how 7
human 5
humans 7
hydrologists 1
i 3
illustrate 2
implications 1
in 11
index 1
industrial 1
infrastructure 2
inputs 1
instincts 1
intervention 1
interviewed 1
interviews 2
into 3
invasive 1
is 7
issue 1
istanbul 2
it 4
its 1
itself 1
john 1
journalist 1
jungle 1
keep 1
kingman 1
knew 1
korean 2
large 2
later 1
lead 1
leading 1
leaks 1
leave 1
left 1
legacy 1
leslie 1
less 1
levels 1
life 3
like 1
likely 1
likewise 1
limiting 2
line 1
little 1
long 1
longestlasting 1
looking 1
maintenance 1
major 1
material 2
materials 1
may 2
mayan 1
measure 1
megafauna 1
members 2
metals 1
million 1
missing 1
model 1
mount 1
movement 2
much 1
must 1
nails 1
narrative 1
native 1
natural 5
nature 2
new 5
no 1
notes 1
nuclear 1
o 1
of 23
off 1
on 1
onechild 1
or 2
other 3
our 3
out 1
outlast 1
outline 1
outsurviving 1
overstretches 1
overview 1
palmyra 1
panama 1
parks 1
parts 1
past 2
penetrated 1
people 1
petroleum 1
pioneer 1
plants 1
plaques 1
plastic 1
plastics 1
point 1
policy 1
population 2
possibility 1
potential 1
practices 1
predict 1
predictions 1
predicts 2
prehistoric 1
prelude 1
presence 1
previous 1
profiles 1
proliferate 1
provide 1
pursues 1
quickly 2
radio 1
radioactive 1
rapidly 1
rats 1
react 1
record 1
reef 1
reports 2
reproduction 1
required 1
resource 1
responded 1
return 1
roads 1
roof 1
rushmore 1
rusts 1
sagging 1
samples 1
saying 1
scenario 1
science 2
sensitive 1
serious 1
several 1
sewers 1
sic 1
silt 1
since 1
singlechapter 1
situation 1
so 1
society 2
soil 1
soils 1
some 1
space 1
species 2
spots 1
spreading 1
stainless 1
states 1
statues 1
steel 1
streams 1
structures 1
substances 1
subway 1
succumbing 1
such 1
sudden 1
suffers 1
survive 1
survivors 1
testimonies 1
that 10
the 50
their 1
theme 1
themes 1
there 1
thesis 1
this 1
thought 1
thousands 1
to 19
too 2
topic 1
touch 1
transhumanism 1
tries 1
tuff 1
turkey 1
two 1
typical 1
ukraine 1
under 1
underground 3
unifying 1
unlikely 1
unmaintained 1
unrepaired 1
up 1
urban 1
us 1
uses 2
vanishing 1
varosha 1
vegetation 3
version 1
view 1
visits 1
volcanic 1
voluntary 1
voyager 1
walls 1
warmth 1
warning 1
was 2
water 1
waves 1
we 2
weather 1
weisman 13
were 1
what 3
whatever 1
where 3
which 1
while 1
wildlife 1
will 1
wilson 1
with 10
without 4
wood 1
world 2
would 16
written 1
years 4
york 2
zone 1
