3073085
/m/08pl08
/m/08pl08
Aleksandr Solzhenitsyn
1968
155 1
a 22
accept 1
achieve 1
admitted 1
after 2
again 1
against 1
age 1
all 3
alone 1
also 2
always 1
am 1
amusement 1
an 1
and 18
anything 1
apartment 1
are 3
around 1
as 10
ask 1
at 2
attraction 1
autobiographical 1
aware 1
away 1
bazaar 1
be 4
beaten 1
because 1
become 1
before 1
begins 1
being 1
believed 1
bless 1
born 2
both 1
breathe 1
bureaucracy 1
but 3
by 1
camps 1
can 1
cancer 3
car 1
carelessness 1
character 2
characters 1
chorsu 1
city 1
come 1
commit 1
communist 1
conversations 2
corrupt 1
could 2
country 1
courage 1
cur 2
day 3
deals 1
decides 3
depicted 1
descriptive 1
desires 1
did 1
difficult 1
directly 1
disagree 1
discharged 1
discover 1
doctor 1
doctors 1
does 1
dog 1
drift 1
drops 1
dual 1
effect 1
either 3
end 1
even 2
everything 1
exile 4
explored 2
face 1
feel 1
feelings 1
feels 1
feet 2
field 1
fight 1
find 1
finding 1
floor 1
focuses 1
for 2
frankly 1
friend 1
from 4
fury 1
gangart 1
go 2
going 2
goodbye 1
government 1
greater 1
greed 1
group 1
gulag 1
had 1
happiness 1
has 5
have 5
having 1
he 19
heads 1
her 4
him 3
his 9
honestly 1
hope 1
hoped 1
hormone 1
hospital 3
i 7
imagine 1
imagines 1
impotent 1
imprisonment 1
in 17
indifference 1
instead 1
intellectual 1
internal 1
into 1
invite 1
is 14
it 3
joy 1
just 1
kazakhstan 1
kislovodsk 1
kiss 2
kostoglotov 3
labour 1
landmarks 1
late 1
later 1
left 3
leningrad 1
less 1
letter 1
lie 2
life 6
like 3
lips 1
lodge 1
longer 1
main 1
make 1
makes 1
man 1
married 1
materialist 1
may 2
mdash 1
means 1
mentioned 1
microcosm 1
middleaged 1
might 1
mirabad 1
miserable 1
more 1
mortality 1
most 1
mostly 1
my 1
nature 1
near 1
neither 1
never 1
nikolayevich 1
no 1
normal 1
not 3
nothing 1
novel 4
now 3
nowhere 1
nurse 1
of 15
offer 1
officer 1
often 1
old 1
oleg 5
on 5
once 1
one 4
only 1
onto 1
or 2
ostensibly 1
out 3
outside 1
overnight 1
park 1
part 1
partly 1
passages 1
passion 1
past 1
patients 1
pavel 1
pension 1
permission 1
perpetual 1
personnel 1
physical 1
pick 1
place 2
plot 1
political 1
poststalin 1
power 2
prediction 1
quite 1
railway 1
reciprocated 1
regime 2
region 1
represented 1
romances 1
rubbish 1
rusanov 2
russian 1
said 1
same 1
see 1
seem 1
sees 1
serious 1
set 1
share 1
she 1
shocked 1
shown 1
similar 1
sleep 1
so 2
soccer 1
solzhenitsyn 2
some 1
soviet 1
special 1
spoken 1
stalin 2
state 1
station 2
status 1
stay 1
still 1
strong 1
subjected 1
such 1
suggests 1
symbolising 1
taken 1
tell 1
than 2
that 7
the 45
their 1
them 2
themes 1
theories 1
therapy 2
there 1
they 1
think 1
this 1
though 2
thought 1
through 2
time 2
title 1
to 28
town 1
train 1
training 1
treated 1
treatment 1
trolleyline 1
try 2
two 1
undergo 1
up 1
used 1
ushterek 2
ussr 1
uzbek 1
uzbekistan 1
vera 3
vera3s 1
visits 1
wandering 1
wanted 1
ward 2
was 2
way 1
we 1
well 1
were 1
what 1
when 1
which 2
while 1
who 1
whom 1
wife 2
will 2
window 1
with 6
within 1
without 1
woman 3
women 1
work 1
worker 1
world 1
would 3
writes 1
you 7
your 1
yourself 1
zoo 1
zoya 1
