2979877
/m/08hg3t
/m/08hg3t
Angie Sage
2005-03
412 18
a 39
abandoned 1
abilities 1
about 2
accepts 1
accidentally 1
actions 1
after 7
afterward 1
again 1
agrees 3
alerts 1
alive 1
allows 2
almost 1
already 1
also 4
alther 3
and 49
another 4
anyone 2
anything 1
apartment 2
apprentice 9
are 3
army 5
around 2
arrive 1
art 1
as 7
asks 1
assassin 4
assassinate 1
assassinated 1
assassination 1
assess 1
attack 1
aunt 8
away 1
baby 5
back 2
banquet 1
be 5
became 1
because 5
become 3
been 5
before 5
beginning 1
begins 2
being 3
belonging 1
bidding 1
birthday 1
bit 2
boat 10
bog 1
bogs 1
book 2
born 1
boy 19
bring 1
brothers 2
bugs 2
building 1
bundle 1
buried 1
burn 1
burns 1
bush 1
but 12
by 6
caf 3
called 1
can 3
captive 1
capture 1
captured 1
castle 3
catch 1
causes 1
cave 1
cavern 2
celebrating 1
charm 3
child 5
children 2
chute 3
claims 1
cloak 1
clogs 1
cloth 1
confesses 1
confirmed 1
confronted 1
confronts 1
connected 1
containing 1
continues 2
control 2
cottage 1
could 1
cradle 1
crazy 1
creatures 1
custodian 4
customer 1
customers 1
daughter 3
dead 2
decide 2
decides 1
defend 1
denies 2
died 2
dies 1
discover 1
discovers 1
dismay 1
distract 1
do 2
dog 1
doing 1
domdaniel 7
domdaniels 2
doors 1
down 2
dragon 4
dump 3
during 1
ends 1
enlisted 1
eponymous 1
escape 1
escapees 1
escapes 1
everyone 3
exextraordinary 1
explains 1
extraordinary 4
eyes 1
falls 1
family 3
father 1
feels 1
few 1
figure 1
finds 5
finger 1
fire 1
firmly 1
first 1
flee 1
fly 1
fog 1
follows 1
for 9
found 2
freezing 1
friends 1
from 3
frozen 1
gave 1
get 1
gets 1
ghost 1
girl 2
gives 3
glows 1
go 2
goes 2
golden 1
gone 1
got 1
gotten 1
greataunt 1
group 4
groups 3
guards 1
had 7
happened 1
harm 1
has 7
hat 1
have 2
he 23
head 1
heading 1
heap 6
heartbeat 1
heels 1
helps 1
her 23
herbs 1
herself 1
hidden 1
hides 1
him 12
his 15
holding 1
home 4
hot 1
hotepra 5
hotepras 1
however 3
hunter 7
huntsman 2
identity 1
if 1
in 19
including 1
inside 3
instead 1
interested 1
interrupts 1
into 3
is 23
island 1
it 8
jenna 15
jennas 2
just 1
keep 2
keeps 2
keepsafe 2
kept 3
kicks 1
kill 1
killed 3
knowing 1
large 1
later 4
learns 2
leave 1
leaving 1
legend 2
legendary 1
letter 1
like 1
living 1
locate 1
location 2
locks 2
longlost 1
look 1
looks 1
loses 1
lovingly 1
magical 1
magyk 1
make 5
manage 1
managed 1
manages 2
marches 1
marcia 20
marcias 3
marram 2
marshes 4
mastser 1
maxie 1
may 1
means 1
mella 2
men 2
mentions 1
mentor 2
midnight 2
midwife 3
midwifes 2
minutes 2
missing 2
months 2
more 1
much 1
mullin 1
muriel 1
must 3
mysteries 1
name 1
navigate 1
near 1
needed 1
needs 2
neighbor 2
new 1
newborn 2
next 2
nicko 5
night 1
no 1
not 2
noticed 1
notices 1
occurred 1
of 22
off 1
on 7
one 3
only 1
order 1
other 2
otherwise 1
out 5
outside 1
over 1
overboard 1
overstrand 1
own 3
owns 1
panics 1
parents 1
part 1
party 1
pass 1
pay 1
people 1
perilous 1
pit 1
place 1
places 2
planning 1
potential 1
powerful 1
predicament 1
pretended 1
princess 3
project 1
protagonist 1
protect 2
prove 1
pursued 1
put 1
queen 1
queens 2
quiet 1
quite 1
raise 1
raised 1
rats 1
reach 1
reaches 2
reaching 1
realizes 1
really 1
refuses 2
reluctant 1
rescue 1
rescued 1
return 3
returning 1
returns 1
reveal 1
reverse 1
right 1
ring 7
rubbish 1
rule 1
run 1
safe 3
safekeeping 1
said 1
sailboat 2
sailing 2
sally 6
sarah 5
save 2
says 2
scuffle 1
secret 5
secretly 1
see 1
seeing 1
seemingly 1
seen 1
sees 2
sending 1
septimus 10
series 1
sets 1
seven 1
seventh 6
she 17
shield 2
shortly 1
should 3
shows 1
signature 1
silas 10
silass 1
since 1
six 2
skilled 2
small 1
smuggled 1
snow 3
somehow 1
sometime 1
somewhere 1
son 7
soon 2
spell 2
spends 1
spy 1
states 1
stay 1
steer 1
still 2
stop 1
stronger 1
stuck 2
succeeded 1
such 1
supposed 1
supreme 3
sure 1
surrounding 1
survives 1
take 2
taken 1
takes 2
talks 1
tell 1
telling 1
tells 4
temple 2
temporarily 1
ten 1
tenth 1
than 2
thanks 2
that 29
the 127
their 6
them 3
themselves 2
then 6
therefore 1
they 8
theyre 1
thick 2
thinks 1
this 2
though 1
threatens 1
through 5
throughout 1
throw 1
time 1
to 54
tower 4
trail 1
trait 1
treachery 1
trek 1
tries 2
try 1
unable 1
unclogging 1
under 1
unless 1
until 1
up 3
upon 2
use 2
used 1
uses 2
using 1
violet 1
visit 1
wailing 1
walk 1
walking 1
walks 1
wanders 1
warm 1
warns 2
was 9
way 2
weeks 1
well 1
wellfed 1
what 1
when 4
where 3
whereabouts 1
which 5
while 1
whisks 1
white 1
who 8
wife 2
will 1
winter 2
witch 2
with 14
within 1
wizard 7
wizards 1
woman 1
worked 1
worker 1
workers 1
works 1
would 2
wrong 1
years 1
young 4
youngest 1
zelda 8
