12912822
/m/02xcq4_
/m/02xcq4_
John Jakes
1975
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
1 1
174 1
1812 2
a 24
abducted 1
aboard 1
abraham 18
abrahams 1
accept 1
adam 1
adopted 1
advances 1
advice 1
affluent 1
after 6
afterwards 1
against 1
aid 1
alive 1
allow 1
along 3
also 1
amanda 8
american 2
an 3
and 34
andrew 2
anne 1
any 1
appeared 1
arrange 1
as 4
associate 1
at 1
attempted 1
attempting 1
august 1
away 1
baby 1
back 1
battle 4
be 1
beaten 1
because 1
been 2
before 2
began 1
begins 1
being 1
birth 1
blackthorn 3
blackthorns 2
born 1
boston 4
breath 1
brothel 1
business 1
but 11
by 9
carriage 1
caught 1
cavalry 1
chance 1
charge 1
city 1
clark 1
common 1
compulsive 1
conservative 1
consideration 1
constitution 1
content 1
contributed 1
control 1
corn 1
could 1
country 1
cousin 1
craps 1
crashed 1
cruelly 1
daughter 3
day 1
days 1
dead 2
death 1
decided 2
decision 1
declared 1
demanded 1
denied 1
desire 1
destination 2
detested 1
did 2
died 3
discovered 2
disease 1
distraught 1
distress 1
disturbing 1
diverging 1
do 1
down 1
during 1
dying 1
earlier 2
elijah 1
elizabeth 8
ends 1
enlisted 2
entire 1
expanding 1
expedition 1
expel 1
expelled 1
fallen 1
family 1
farm 3
farming 1
father 3
fathers 1
feared 1
federalists 1
fell 1
fire 1
firm 3
first 1
fled 1
fletcher 2
follow 1
followed 1
for 8
fort 1
frail 1
friendly 1
from 3
fur 3
gambler 1
game 1
gave 2
gilbert 5
gilberts 1
given 1
going 2
great 1
grown 1
guerriere 1
had 12
hamilton 2
harriet 6
have 2
having 4
he 17
hearing 1
help 1
her 4
hermitage 1
him 12
his 18
hit 1
hms 1
home 1
house 1
however 2
husband 1
illusory 1
impressed 1
in 24
indian 2
indians 2
industrialists 1
informed 1
inherited 1
inquiries 1
instead 1
interested 1
into 2
is 1
it 1
jackson 2
jail 1
jailed 1
jared 20
jefferson 1
job 1
journey 1
judson 1
just 2
kent 10
kill 2
killed 2
labor 1
land 2
later 1
learn 1
learns 1
leave 1
leaving 1
led 1
left 1
legion 1
let 1
lewis 1
life 2
live 1
lived 1
living 1
looking 1
lose 1
lost 1
louis 1
love 1
made 4
maiming 1
make 1
man 1
married 3
mate 1
mclean 2
men 1
miami 1
mind 1
missouri 1
more 3
move 2
murder 1
nashville 1
navy 1
near 2
needed 1
neutralize 1
never 2
new 2
news 2
ninety 1
no 1
northwest 2
not 7
of 17
offer 1
offered 1
officer 1
ohio 1
on 2
once 3
one 2
onto 1
orleans 1
orphan 1
other 1
own 1
participate 2
participated 1
partner 1
party 1
passing 1
peace 1
peggy 3
philip 7
philips 1
piggott 1
pittsburgh 1
place 1
planned 1
politically 1
populated 1
preferred 1
pregnant 1
premature 1
prior 1
proprietor 1
prostitute 1
prove 1
proved 1
publishing 2
purchased 1
pushed 1
quickly 1
rage 1
raise 1
raised 1
raped 1
reaching 1
reader 1
recently 1
recover 1
rejected 1
remarried 1
required 1
resented 1
retribution 1
reunited 1
revealed 1
river 3
riverboat 1
roof 1
rules 1
saw 1
scuffle 1
search 1
second 2
see 1
seemed 1
seizure 1
sell 1
served 1
set 1
settle 1
settlement 1
settlements 1
setup 1
sex 1
sharing 1
shawnee 1
she 5
shooting 1
shot 2
sidetracked 1
slip 1
sold 3
some 1
son 8
specific 1
spirits 1
st 1
stairs 1
start 1
states 1
stepsister 1
story 2
stovall 4
such 1
suitable 1
superior 1
supported 1
take 1
tecumseh 1
tennessee 1
territory 2
that 11
the 47
their 2
them 1
then 2
there 5
they 3
thinking 1
this 4
thomas 1
though 2
threat 1
timbers 1
time 1
to 38
told 2
too 1
took 2
tract 2
trade 2
trader 1
traders 2
traveled 1
treated 1
tried 2
two 2
uncertain 1
under 1
united 1
up 1
upon 1
urban 1
us 1
uss 1
views 1
violent 1
visited 1
wandered 1
want 1
wanted 1
wanting 1
war 1
ware 1
was 22
way 4
weatherby 3
went 1
were 1
what 1
when 3
which 2
while 2
whiskey 1
white 1
who 1
wife 4
william 1
with 6
without 2
witnessed 1
womaniser 1
would 3
year 1
years 1
young 2
