15204080
/m/03hlsg_
/m/03hlsg_
Leonie Swann
2005
a 3
agree 1
and 3
at 1
awake 1
beginning 1
belonging 1
body 2
but 1
certain 1
cleverest 1
dead 1
draws 1
fetch 1
fictional 1
find 2
finds 1
flock 1
george 1
glenn 1
glennkill 2
his 2
horrified 1
in 3
inspect 1
irish 1
is 1
later 1
little 1
maple 2
middle 1
miss 2
murder 1
murderer 1
not 1
novel 1
of 3
omalley 1
only 1
others 1
panicked 1
people 1
reporters 1
resolve 1
runs 1
set 1
several 1
sheep 2
shepherd 1
solve 1
spade 1
story 1
suggests 1
the 13
their 1
they 1
this 1
to 5
tom 1
townspeople 1
village 1
volunteers 1
with 1
