728016
/m/0364tc
/m/0364tc
Naguib Mahfouz

a 5
adds 1
akhenaten 4
akhetaten 1
allow 1
among 1
amun 1
amunhoben 1
and 5
balanced 1
believer 1
built 1
chief 1
city 1
close 1
court 1
dimension 1
each 1
egypt 1
enigma 1
events 1
father 2
for 2
from 2
gets 1
god 1
haremhab 1
heretic 1
high 1
him 1
his 5
introduction 1
is 1
judge 1
letter 1
many 1
members 1
meriamun 2
ndash 2
nefertiti 1
new 1
of 7
on 2
one 1
only 1
or 1
out 1
perspective 1
pharaoh 1
points 1
politically 1
politician 1
power 1
priest 1
queen 1
reader 1
religiously 1
ruins 1
scribe 1
security 1
seeking 1
split 1
tale 1
that 4
the 10
thebes 1
them 1
themselves 1
those 1
thoughts 1
time 1
to 4
true 1
was 1
way 1
were 1
whether 1
which 1
with 1
