9343751
/m/0285830
/m/0285830
Jack Ketchum

{"/m/01jfsb": "Thriller", "/m/0lsxr": "Crime Fiction", "/m/014dfn": "Speculative fiction"}
160s 1
a 5
abuse 1
abusing 1
accelerate 1
actions 1
adult 1
after 3
alcoholic 1
alive 1
all 1
allowing 1
allows 2
amongst 1
an 2
and 19
any 1
are 2
as 5
at 1
aunt 1
basement 1
be 1
beats 1
because 1
become 1
been 1
beer 1
before 1
begins 2
bomb 1
both 1
boys 1
brutal 1
burden 1
by 4
care 1
childhood 1
children 9
come 2
control 1
create 1
crime 2
crutches 1
david 8
death 2
decides 2
descent 1
desires 1
despite 1
deteriorating 1
develop 1
died 1
discovering 1
do 1
does 1
downstairs 1
drink 1
efforts 1
either 1
end 1
even 1
ever 2
fast 1
feel 1
feelings 1
feels 1
finally 1
find 1
fireworks 1
first 2
flashback 1
foiled 1
for 2
form 1
forward 1
freely 1
friends 2
gained 1
get 2
girl 1
girls 3
giving 1
gone 1
grown 1
grows 1
had 1
happened 1
has 3
have 5
having 1
he 8
heads 1
helped 1
her 9
himself 1
his 3
home 1
house 1
however 2
in 4
injured 1
innocent 1
into 2
introduces 1
is 4
left 1
lifestyles 1
lights 1
live 1
lives 1
locked 1
loses 1
loved 1
madness 1
make 1
making 1
man 2
meg 5
mental 1
more 1
mother 1
must 1
narrator 1
near 1
neighborhood 5
never 1
nieces 1
no 1
not 2
now 1
occasional 1
of 13
often 1
okay 1
on 1
one 2
or 1
other 5
out 2
over 2
parents 1
permission 1
perpetuated 1
physically 1
place 1
plan 2
play 1
police 1
poverty 1
prosecuted 1
punished 1
quick 1
reader 1
reading 1
realizes 1
reckless 1
rescue 1
result 1
rough 1
runs 1
ruth 10
seems 2
severely 1
she 4
shelter 1
should 2
show 1
single 1
smoke 1
so 3
some 1
something 1
sons 1
spree 1
stairs 1
state 1
states 1
story 1
suburban 1
susan 4
sweet 1
takes 1
tells 1
that 4
the 27
their 3
them 4
themselves 1
then 4
they 3
things 1
time 3
to 16
told 1
torture 1
tour 1
toy 1
track 1
tracks 1
travel 1
trust 1
two 2
unable 1
under 1
united 1
up 4
verbally 1
warns 1
was 1
watching 1
well 1
what 2
whereabouts 1
while 1
who 3
will 2
wish 1
with 5
wonder 1
young 1
