18633166
/m/04gv6nj
/m/04gv6nj
Jeanne Kalogridis
1986-07
a 2
also 1
and 1
begins 1
by 3
contain 1
continued 1
crew 1
defeat 1
device 2
dillard 1
enterprise 1
entities 1
expedition 1
found 1
generation 1
in 1
is 4
it 3
jm 1
malevolent 1
many 1
must 1
next 1
not 1
novel 1
of 2
one 3
over 1
people 1
planet 1
possession 1
powerhungry 1
replaced 1
replacing 1
revealed 1
scientific 1
star 1
story 1
strange 1
taken 1
taking 1
the 6
them 1
this 2
those 1
threat 1
to 2
trek 1
vulcan 2
where 1
with 1
yet 1
