3921865
/m/0b6xc5
/m/0b6xc5
Laurence James
1986-06
{"/m/06n90": "Science Fiction", "/m/0hc1z": "Apocalyptic and post-apocalyptic fiction"}
a 3
alone 1
also 2
america 1
and 2
apparently 1
appears 1
are 1
at 1
book 2
brings 1
but 1
cerberus 1
chambers 1
character 1
constantly 1
device 1
die 1
doc 1
driving 1
end 1
first 1
future 1
gentleman 1
gives 1
glance 1
goes 1
group 1
in 3
introduces 1
is 2
it 1
knowledge 1
long 1
major 2
mattrans 1
menaces 1
mutant 1
near 1
novel 1
novels 1
of 4
off 1
one 1
our 1
particular 1
plot 1
prewar 1
redoubt 1
redoubts 1
referenced 1
running 1
saga 1
senilesounding 1
series 2
stickies 1
tanner 1
teleport 1
that 1
the 10
this 2
to 2
trader 1
us 1
who 2
with 1
