8179123
/m/026vf8w
/m/026vf8w
Dave Wolverton
2006-11
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/03qfd": "High fantasy"}
a 7
abandons 1
abilities 1
along 1
among 1
an 1
and 19
ape 3
are 2
army 1
arrives 1
as 3
asgaroth 3
assault 1
awakens 1
back 1
base 1
bearer 1
becomes 1
befriends 1
begins 2
behind 1
being 1
board 1
book 1
borenson 1
brawn 1
bright 1
brother 1
but 2
by 5
call 1
called 1
calling 1
captain 1
captive 1
captured 1
catches 1
child 1
children 3
city 1
coming 1
courts 1
crewincluding 1
daughter 1
dead 2
dedicate 2
dedicates 2
destroy 1
destroying 1
destroys 2
details 1
dies 2
down 1
during 1
earth 1
elemental 1
endowments 1
entering 1
escapes 1
eventually 3
evil 4
exiles 1
fallion 11
family 1
fearing 1
finds 1
fire 1
five 1
flameweaver 2
flee 3
follows 1
for 1
from 1
gaborn 1
girl 1
graak 1
group 1
grow 1
gwardeen 2
had 1
happened 1
has 2
hed 1
held 1
her 7
hidden 1
him 2
his 6
host 1
how 1
in 3
including 1
injures 1
innocent 1
innocents 1
into 1
iome 1
is 5
jaz 3
keep 1
king 1
kingdoms 1
lair 1
land 1
landesfallen 1
leaves 1
led 1
left 1
life 1
locates 1
loci 1
locus 2
look 1
loyalty 1
many 1
master 3
mistakenly 1
mobilize 1
monsters 1
most 1
mother 2
myrrima 1
nations 1
numerous 1
of 14
older 1
on 1
one 5
only 1
orden 1
order 1
over 1
parasitized 1
pass 1
possessed 1
power 3
powers 1
presumed 1
quickly 1
realizes 2
recognizes 1
remnant 1
rescued 2
residing 1
revives 1
rhianna 4
riders 1
rise 1
runelord 1
save 1
sea 3
seriously 1
several 1
shadaoth 3
shadoath 6
she 6
ship 1
sir 1
slain 1
slaughter 1
smoker 4
smuggler 1
so 1
son 1
stamina 1
strengisaats 1
supposed 1
taken 1
teaching 1
the 30
their 2
them 3
there 1
they 3
theyll 1
this 2
tide 1
to 9
torch 1
tortures 1
tracks 1
transforms 1
tries 1
true 4
unable 1
up 1
use 1
usurp 1
val 1
were 1
what 1
when 2
where 2
which 1
while 1
who 2
win 1
with 3
within 1
world 1
wounding 1
wounds 1
years 1
