2425811
/m/07c6fb
/m/07c6fb
Masuji Ibuse
1965
{"/m/098tmk": "War novel", "/m/0hwxm": "Historical novel"}
145 1
615 1
a 2
affected 1
already 1
alternates 1
and 4
arrange 1
at 1
atomic 1
attempt 1
attempts 1
august 1
become 1
been 1
between 1
black 2
bomb 1
book 1
but 1
by 1
causes 1
characters 1
concern 1
concerns 1
disprove 1
due 1
earlier 1
end 1
entries 2
exposed 1
failed 1
fallout 1
find 1
for 1
from 1
guardians 1
have 1
having 1
he 1
health 1
her 3
hiroshima 1
his 1
husband 1
in 1
indeed 1
is 1
it 1
journal 2
later 1
main 1
match 1
niece 1
novel 1
obligated 1
of 5
one 1
other 1
out 1
over 1
present 1
radiation 1
rain 2
several 1
shigeko 1
shigematsu 2
shizuma 1
sickness 2
start 1
story 1
suitable 1
that 1
the 12
their 1
three 1
throughout 1
thus 1
to 5
turns 1
was 1
when 1
wife 1
yasuko 2
years 1
