25364599
/m/09gjb3t
/m/09gjb3t
Roland Smith
2009-10
{"/m/01hmnh": "Fantasy"}
a 6
ahead 1
alive 1
allowing 1
and 5
are 1
as 1
be 2
begins 1
between 1
blackwood 5
board 2
book 1
boss 1
bronson 1
butch 1
by 1
capture 2
coelacanth 1
congo 1
crew 2
cryptid 2
culminates 1
dead 1
dr 1
dragonspy 1
during 1
eggs 2
ending 1
escapes 1
for 1
found 1
from 1
giant 1
grace 4
had 1
hatchlings 1
haunted 1
her 3
hidden 1
his 1
hunters 2
in 5
incubating 1
into 1
is 1
laboratory 1
led 1
marty 1
mokelembembe 1
most 1
of 4
on 4
one 1
partner 1
planning 1
presumably 1
protagonists 1
rest 1
restricted 1
ship 1
showdown 1
squid 2
stealing 1
step 1
successful 1
taking 1
ted 1
tentacles 1
the 11
there 1
thinking 1
though 1
thug 1
to 6
tricked 1
unbeknownst 2
voyage 2
which 1
with 2
wolfe 6
