2296365
/m/071rkq
/m/071rkq
Erich Kästner
1931
35th 1
a 8
about 2
afternoon 1
an 1
and 5
anticipates 1
at 1
bad 1
be 1
best 1
black 1
boy 1
by 2
caballo 2
can 1
castle 1
children 2
city 1
cockaigne 1
complete 1
conrad 2
cs 1
device 2
each 1
end 1
enter 2
entry 1
essay 1
experiences 1
fantasy 1
fiction 1
followed 1
free 1
german 1
half 1
hallway 1
happens 1
his 3
horse 1
huge 1
in 6
is 4
island 1
it 1
jousting 1
land 1
lands 2
lewis 1
lion 1
literature 1
magic 1
magical 1
may 1
mediaeval 1
meet 1
mobile 1
moving 1
mr 1
negro 2
nightmare 1
novel 1
of 4
on 1
one 1
parents 1
phones 1
plot 1
price 1
protagonists 1
real 1
reform 1
return 1
ringelhuth 2
roller 1
same 1
school 2
science 1
sea 1
send 1
series 1
similar 1
skater 1
south 1
speak 1
spends 1
stands 1
starting 1
that 1
the 13
they 2
through 1
thursday 2
time 1
to 3
together 1
uncle 2
up 1
upsidedown 1
used 1
walkways 1
wardrobe 3
wellversed 1
which 3
who 2
witch 1
with 4
world 3
writes 1
young 1
