7423595
/m/026153b
/m/026153b
Tomie dePaola


a 6
all 2
amongst 1
an 1
and 6
anywhere 1
are 2
as 1
baby 1
be 1
bed 1
begins 1
big 1
biggest 1
break 1
breaking 1
broken 1
brunch 1
can 1
carefully 1
cave 1
coming 1
cracking 1
day 1
dinosaur 2
doesnt 1
drags 1
during 1
egg 3
eggs 2
ever 1
family 1
find 2
fire 1
for 1
found 1
friendship 1
front 1
george 1
go 1
grunt 5
grunts 1
has 1
he 4
hearth 1
high 1
him 1
his 1
home 1
impressed 1
in 3
is 3
it 3
just 1
keeps 1
left 1
little 3
live 1
low 1
make 1
mama 1
names 1
next 2
night 1
no 1
noise 1
of 1
omelette 1
orders 1
over 2
pet 1
searches 1
seen 1
she 1
shells 1
shows 1
so 3
some 1
strong 1
stumbles 1
sunday 1
that 3
the 11
then 1
there 1
they 3
to 6
told 1
tribe 2
uggawugga 1
up 1
very 1
volcano 1
wake 1
when 2
who 1
