149679
/m/0137fq
/m/0137fq
Salman Rushdie
1983-10-12
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
3 1
a 6
actually 1
addition 1
allow 1
and 4
are 1
as 2
at 1
become 1
becomes 1
birth 1
birthday 1
both 1
bunny 1
by 1
called 1
chunni 1
comes 1
contact 1
convinced 1
doctor 1
eduardo 1
enrolls 1
father 1
fictitious 1
general 1
give 1
got 1
growing 1
harappa 1
he 2
him 1
his 1
house 1
hyder 1
hypnosis 1
impossible 1
in 5
is 5
iskander 1
it 1
khayym 2
know 1
learns 1
leave 1
mischievous 1
mother 1
mothers 1
munnee 1
of 2
omar 5
over 1
pakistan 1
party 1
place 1
pregnant 1
present 1
pretend 1
q 3
raza 1
rodriguez 1
school 1
shakil 3
simultaneously 1
sisters 2
story 1
takes 1
the 2
therefore 1
they 1
this 1
three 1
time 1
to 5
town 1
true 1
tutor 1
unsure 1
up 1
version 1
which 1
while 1
who 2
with 1
