18714324
/m/04gm243
/m/04gm243
Gail Tsukiyama
1996-05-04
{"/m/05hgj": "Novel"}
a 10
about 2
adults 1
affair 1
afraid 1
age 1
also 3
always 1
an 3
and 24
another 1
are 3
as 3
at 1
baba 2
be 2
beachside 1
beautiful 2
beauty 3
because 3
becomes 1
beginnings 1
being 1
betrayed 1
between 1
bitter 1
bodies 1
book 3
boy 1
bring 1
brother 1
but 3
by 1
can 1
cant 1
causes 1
characters 1
childhood 1
china 1
chinese 3
considered 1
contact 1
crazy 1
cruelties 1
dating 1
develops 1
dies 1
disfigured 1
dishonor 1
ends 1
engaged 1
especially 1
even 1
eventually 2
ever 1
everything 2
exile 1
existing 1
face 2
fact 1
fallen 1
family 3
father 3
feel 1
felt 1
fighting 2
first 1
for 4
forbade 1
forced 1
friend 1
friends 1
friendships 1
from 1
further 1
future 1
gail 1
gave 1
girl 1
girls 1
going 2
good 1
got 1
grandfather 1
great 1
guilty 1
had 5
happened 1
has 1
have 1
he 7
her 5
him 1
his 8
home 1
hong 2
honor 3
housed 1
how 1
humanity 1
ideas 1
if 1
in 10
into 1
invade 1
is 12
it 3
japan 2
japanese 4
just 1
keep 1
keiko 7
kenzo 6
kong 2
later 1
leaves 1
left 1
lepers 1
leprosy 2
lessons 1
looking 1
loss 1
love 5
loving 1
main 1
makes 1
man 1
many 1
matsu 7
meets 1
messages 1
mind 1
mistress 1
money 1
monster 1
most 2
never 1
new 1
next 1
no 1
not 1
now 2
obviously 1
of 12
off 1
old 1
on 2
one 3
only 1
opinions 1
order 1
out 2
over 1
own 1
parents 1
people 1
person 1
place 1
point 1
poised 1
prejudiced 1
promise 1
quiet 1
realized 1
recuperate 1
relationship 2
reputation 1
right 1
rubbed 1
sachi 10
said 1
says 1
scarred 1
scars 1
see 1
seeing 1
seen 1
sees 1
selfconcept 1
sense 1
sent 2
servant 1
she 4
shows 1
side 1
simple 1
small 1
society 2
some 1
someone 1
soul 1
started 1
stephen 9
still 1
stories 1
successful 1
such 1
sure 1
tarnished 1
tarumi 2
taught 1
that 7
the 19
their 3
then 2
there 5
thinks 1
this 3
those 1
thoughts 1
three 1
through 1
throughout 2
time 1
to 15
towards 1
triangle 1
truly 1
tsukiyama 1
tuberculosis 1
twentyyearold 1
unblemished 1
underlying 1
understanding 1
understated 1
unwinding 1
very 2
village 1
wanted 1
war 3
was 9
were 1
what 3
when 2
who 3
wisdom 1
with 6
woman 2
yamaguchi 1
years 2
yet 1
young 1
younger 1
