4653750
/m/0cfmph
/m/0cfmph
Jim Grimsley
1995
{"/m/05hgj": "Novel"}
a 5
abandoned 1
about 1
abusive 1
accepted 1
adolescent 1
although 1
an 2
and 13
are 2
as 2
at 1
avoids 1
becomes 1
boy 2
burke 2
bus 1
but 1
camping 1
chair 1
circle 1
clearly 1
compromising 1
decide 1
deepens 1
desire 1
discover 1
discovered 1
door 1
drives 1
drunk 1
during 1
escape 2
evening 1
explain 1
family 1
fantasizes 1
father 2
finding 1
first 1
friends 1
from 2
go 1
going 1
gradually 1
handle 1
happened 1
has 1
haunted 1
he 2
helps 1
high 1
him 1
his 4
hits 1
house 1
in 1
intelligent 1
into 1
invited 1
is 8
issue 1
it 1
killed 1
knows 1
later 1
left 1
lives 1
molest 1
mother 1
nathan 8
next 1
not 2
on 3
one 1
or 1
plantation 1
possibly 1
randy 1
rapes 1
readers 1
relationship 2
returning 1
roy 6
same 1
school 2
seen 1
senior 1
sexual 1
she 1
shy 1
situation 1
social 1
the 6
their 1
they 1
this 1
time 1
to 6
town 1
tries 1
trip 2
violent 1
wants 1
what 1
whether 1
who 2
with 3
