4584023
/m/0cb3rd
/m/0cb3rd
Frederick Forsyth
1996
1 2
16 1
2000 2
a 16
about 1
after 3
against 1
agent 1
agents 4
agrees 1
aid 1
aided 1
aimed 1
aldrich 1
all 3
along 1
ames 2
an 1
anatoli 1
and 22
anger 1
are 3
around 1
as 6
at 3
attacks 1
background 1
be 1
before 1
begins 1
berlin 1
betrays 1
between 1
bids 1
black 2
british 1
bureaucrat 1
but 3
by 7
caicos 1
camp 1
campaign 1
camps 2
candidate 1
capture 2
carey 1
carry 1
caught 1
cause 1
chance 1
charismatic 1
chechen 1
chief 1
cia 6
cleaning 1
close 2
colonel 1
comes 1
contains 1
creation 1
deputy 1
derailing 1
destruction 1
detailing 2
develops 1
director 1
disease 1
document 4
dying 2
earlier 1
either 1
elderly 1
elections 1
empty 1
ethnic 1
executed 1
expulsion 1
exsoldier 1
extremely 1
farewell 1
figures 2
filled 1
final 1
first 1
fishing 1
flashbacks 1
for 3
forces 1
former 4
friendship 1
from 3
future 1
genocide 1
given 1
gives 1
government 1
grief 1
grishin 3
guaranteed 1
happens 1
hard 1
have 1
having 1
he 7
head 2
headquarters 1
highly 1
him 2
his 6
however 3
igor 2
ilyich 1
in 6
include 1
influential 2
information 1
interrogated 1
interrogation 2
invasion 1
irvine 2
is 6
islands 1
it 1
janitor 1
january 2
jason 1
jordan 1
july 1
kill 1
known 2
komarov 8
labour 2
last 2
later 2
leader 1
leaders 1
leads 2
lengthy 1
leonid 1
letter 1
life 2
mafia 1
man 1
manifesto 2
meeting 1
minorities 1
mole 1
monk 9
national 1
nearly 1
never 1
nigel 1
nikolai 1
not 1
novel 1
of 17
office 1
on 3
oneparty 1
operations 1
opponents 1
or 1
other 1
out 1
owes 1
parts 1
patriotic 1
pens 1
physicist 1
plan 3
policies 1
political 1
politician 1
popular 1
president 1
presidential 2
quiet 1
recommends 1
recruited 1
recruiter 1
recruitment 1
refuses 1
regarding 1
religious 1
republics 1
restoration 1
return 1
returns 1
revenge 1
revolves 1
rightwing 1
ring 1
rounded 1
rounds 1
runner 1
russia 3
russian 1
ruthless 1
saves 1
schemes 1
searching 1
secret 1
secretary 1
security 1
sensitive 1
sent 1
sentenced 1
series 1
set 1
several 1
showing 1
shows 1
sir 1
sis 1
skim 1
slave 1
son 1
soon 1
soviet 4
soviets 3
state 1
stolen 1
story 1
such 1
suitable 1
supervising 1
sworn 1
take 1
taking 1
talks 1
team 1
the 29
their 1
them 1
there 2
these 2
this 2
through 1
thwart 1
to 17
torture 2
tourists 1
translates 1
trips 1
tropical 1
turkin 2
turks 1
typhoid 1
union 2
up 3
upf 3
us 1
victory 2
visits 1
watches 1
western 1
when 1
while 1
who 3
whose 1
with 6
working 1
years 1
zaitsev 2
