22346498
/m/05sz59s
/m/05sz59s
Charlaine Harris
2005-05-03
a 15
about 1
acquaintance 1
act 1
adds 1
after 1
agent 1
alcide 3
all 1
alley 1
also 2
although 1
an 3
and 20
andy 1
angry 1
any 1
apparent 1
appeals 1
are 2
around 1
arranges 1
arrives 1
arson 1
arts 1
as 5
ask 1
asks 1
associates 2
at 5
attacked 1
attacks 1
back 1
ballistics 1
bar 1
bartender 3
based 1
be 2
because 1
become 1
becomes 2
been 3
before 1
befuddled 1
begins 1
being 1
bellefleur 1
bill 1
bitten 2
blamed 1
bored 1
bubba 1
bullet 1
bullets 1
burn 1
but 1
by 11
calvin 4
cannot 1
car 1
card 1
charles 4
cheating 1
chooses 1
clarice 1
claudine 1
club 1
colonel 1
come 1
comes 3
common 1
competition 1
confrontation 1
contact 1
cook 1
covered 1
dark 1
date 1
dated 1
dawson 1
days 1
dead 5
dear 1
death 2
debbie 1
debt 1
declared 1
des 1
dies 1
different 1
discovers 1
dispensing 1
dog 1
done 1
door 1
down 1
draining 1
dumped 1
during 2
endurance 1
enraged 1
eric 10
estate 1
event 1
everyone 1
except 1
exchange 1
explains 1
fairy 1
fangtasia 1
father 3
fellowship 1
felt 1
felton 1
final 1
find 1
fire 2
first 2
flood 1
for 9
form 1
found 2
framed 1
franklin 3
free 1
from 1
full 1
gasoline 1
gave 1
go 1
godmother 1
grew 1
grievous 1
groupies 1
gun 1
had 2
half 1
happened 1
has 4
hat 1
have 1
he 8
held 1
help 2
helping 1
her 7
him 6
his 5
hit 2
hot 2
house 3
how 1
hurt 1
in 14
injury 1
innocent 1
into 4
is 22
it 7
jason 5
judges 1
justice 1
kill 1
killed 4
killer 1
killing 1
kills 2
kind 1
knowing 1
known 1
later 1
leader 3
learns 1
leaving 1
leg 1
lend 1
library 1
long 1
longshadow 2
looking 1
louisiana 1
make 1
maker 1
makes 1
man 3
manhalf 1
manipulates 1
matches 1
merlotte 2
mickey 4
minds 1
moon 1
mott 2
must 2
nearby 1
needs 2
new 2
norris 4
not 1
now 2
of 11
on 3
once 1
one 4
or 1
other 1
others 2
out 2
outside 1
over 2
own 1
pack 3
paid 1
panther 1
part 2
passionate 1
patrick 2
payment 1
pelt 1
penalty 1
place 1
presumably 1
problem 1
protect 1
pumphrey 1
punishment 1
quinn 1
rain 2
reach 1
reading 1
real 2
regardless 1
relationship 1
remember 1
replacement 1
restitution 1
returns 1
revealed 1
revenge 1
ring 1
rounds 1
run 1
sam 4
saved 1
says 1
scene 1
selah 1
sends 1
sent 3
seriously 1
set 1
sexual 1
she 9
shifter 2
shifters 2
shooter 1
shot 8
shows 1
shreveport 1
since 1
so 2
solved 1
someone 2
something 1
sookie 19
strength 1
subplot 1
sufficient 1
sun 1
suspects 1
sweetie 3
take 1
takes 1
tara 3
tell 3
tells 2
test 3
that 15
the 38
their 4
them 1
then 4
theory 1
there 1
therefore 2
they 1
thinking 1
this 2
thorton 1
throughout 1
throws 1
thumb 1
tiger 1
to 27
tooth 1
town 1
trade 1
tray 1
tries 2
trying 2
turn 1
turning 1
turns 2
twining 4
unable 1
under 1
until 2
up 1
vampire 2
vampires 1
victor 1
wallet 1
wanted 1
was 6
watch 1
well 1
were 2
wereanimals 1
werepanther 2
werepanthers 1
weres 1
werewolf 2
werewolves 1
what 1
when 3
while 2
who 6
whom 1
wins 1
with 6
wolfpack 1
work 1
world 2
would 1
wounded 1
wounds 1
