7260593
/m/025xk0b
/m/025xk0b
Steven Brust
2001
a 20
about 3
accompany 2
accomplished 1
acquired 1
additional 1
adrilankha 1
adron 1
after 1
afterwards 1
again 2
air 1
aliera 7
allows 1
along 2
already 1
always 1
amorphia 6
an 7
and 46
another 1
are 1
arm 2
arrive 2
arrives 1
as 2
assassinate 1
assault 1
assortment 1
at 2
attempt 1
attempting 1
attempts 2
awakes 2
back 1
barren 2
be 2
been 1
behaves 1
behavior 1
beings 1
believes 1
believing 1
between 1
black 1
blackwand 2
blade 1
body 1
bonds 1
breaks 1
breathe 1
but 4
by 5
came 1
cannot 1
castle 1
causing 1
chain 1
chained 2
changed 2
channel 1
chaos 1
chat 1
choosing 1
chunk 1
combat 1
concealing 1
connection 1
consists 1
contact 1
continues 1
conversation 2
could 1
courtesy 2
cousin 1
created 1
creation 1
cut 2
dagger 6
dead 1
decides 1
defenses 1
demon 2
destination 1
destroying 2
diplomacy 1
disappearance 1
disaster 1
discover 1
discovers 1
discovery 1
dispel 1
distracts 1
do 1
doing 1
dragaera 2
dragaerans 2
during 2
dzur 3
effect 2
elder 2
empire 1
enchantress 1
ends 1
engage 2
enough 1
escape 2
escaped 1
ever 1
existence 1
exit 1
extravagant 1
father 1
favorite 1
fear 1
feels 2
fight 1
fighting 1
finally 1
find 1
first 1
flippantly 1
flowing 1
follows 1
for 3
form 2
four 3
frees 2
friend 1
from 6
general 1
genuine 1
genuinely 1
give 1
go 1
goddess 3
gods 2
godslayer 1
gone 1
grabs 1
great 3
griefstricken 1
group 2
halfremembered 1
halls 1
hard 1
has 6
have 5
having 1
he 7
help 1
her 5
him 1
himself 1
his 16
home 1
how 4
however 1
identify 1
idly 1
if 1
illusion 1
immense 1
impeccable 1
imperial 1
impromptu 1
in 13
inn 1
insists 1
instigated 1
insult 1
intention 1
into 1
intuitively 1
investigates 1
is 7
issola 1
it 6
jenoine 18
jhereg 1
joins 1
keep 1
kill 2
killed 1
knocked 1
lack 1
lady 2
landscape 1
language 1
large 2
lavode 1
leads 1
learns 2
left 1
less 1
lesser 3
lifeless 1
likes 1
link 2
linked 1
liquid 1
little 2
location 1
long 1
love 1
made 1
magic 2
magical 2
magically 1
major 1
make 1
makes 1
managed 1
manages 1
match 1
meet 1
middle 1
might 2
mishap 1
missing 1
mission 1
more 1
morganti 2
morrolan 14
most 2
mountain 3
much 2
must 1
mysterious 1
natural 1
nature 1
necessity 1
necromancer 2
new 2
next 1
no 2
not 1
note 1
now 2
nowhere 1
numb 1
objects 1
of 26
off 2
offensive 1
offers 1
on 7
once 1
orb 2
organization 2
organizes 1
others 1
oust 1
out 3
outnumbered 1
outside 1
over 1
own 3
pair 1
people 1
personality 1
pierce 1
plane 1
portion 1
positive 1
possible 2
power 4
powerful 3
prefers 1
probably 1
promise 1
prove 2
pull 1
puzzle 1
quickly 1
raid 1
ranks 1
rather 1
realizes 2
receives 1
recovers 1
recuperated 1
release 1
remnants 1
requests 1
rescue 1
rest 1
restaurant 1
return 4
revivified 1
rock 1
room 6
rout 1
run 1
scope 1
sea 4
seem 2
sees 1
sense 1
serioli 1
servant 1
sethra 6
several 1
share 1
she 3
since 1
situation 1
skill 1
small 1
smooths 1
so 4
solidifies 1
some 1
somehow 1
something 1
soon 1
sorcery 5
soul 3
speak 2
speaks 2
spellbreaker 5
spite 1
stab 1
stabs 1
stay 1
step 1
still 1
stone 2
stream 3
study 1
substance 1
such 1
suddenly 1
summon 1
surprise 1
tapping 1
teldra 17
teleport 3
tells 2
terrified 1
than 2
that 10
the 70
their 5
them 7
then 2
there 2
they 8
think 1
this 3
though 2
through 2
thunderstruck 1
to 43
trace 1
transport 2
treatment 1
trellanstone 2
trying 1
turn 1
unconscious 1
understands 1
unknown 1
unsuccessful 1
until 2
usable 1
use 2
used 1
useful 1
uses 6
using 4
valabar 1
vastly 1
verra 6
vision 2
visit 2
vlad 35
wait 1
wall 2
was 2
water 1
weapon 5
which 2
while 1
who 1
will 1
windows 1
witchcraft 3
with 11
within 1
without 1
world 1
