2159939
/m/06r817
/m/06r817
Joanne Bertin
1999
a 5
additional 1
ago 1
also 1
an 1
and 3
book 1
by 2
cousins 1
covers 1
discovering 1
dragonlords 1
draws 1
dynasty 1
empire 2
exploited 1
fall 1
first 1
five 1
for 1
from 1
hands 1
him 1
himself 1
his 1
in 1
into 1
is 3
its 1
jehanglan 1
jehangli 1
kept 1
kingdoms 1
kyrissaean 1
land 1
lead 1
linden 1
lord 1
maurynna 1
novel 1
of 7
on 1
one 1
party 1
phoenix 3
place 1
play 1
power 3
rathan 1
rescue 1
seeks 1
soultwin 1
south 1
sustained 1
take 1
that 1
the 14
their 1
they 1
thousand 1
throne 1
to 4
trap 1
trapped 3
truedragon 1
unfortunately 1
use 1
which 1
who 1
years 1
