5750856
/m/0f2ps1
/m/0f2ps1
Mary Renault
1956
20s 1
a 16
adolescent 1
adviser 1
after 3
again 1
albeit 1
alcibiades 4
alexander 1
alexias 8
alexis 2
almost 1
also 3
an 1
and 19
another 1
are 1
as 5
at 2
athenian 4
athenians 1
athens 7
athlete 1
battle 2
be 1
beauty 2
become 2
becomes 1
been 2
before 1
beginning 1
between 1
blasphemy 1
book 2
both 1
by 5
carelessness 1
cavalry 1
champion 3
characterized 1
charge 1
city 1
command 1
commander 1
continuation 1
continues 1
courage 1
course 1
debutantes 1
defeated 1
democracy 1
democratic 2
dialogues 1
disaster 1
disorder 1
encourages 1
ends 2
ephebe 1
eromenos 1
establishment 1
eventual 1
exile 2
expedition 1
fact 1
falls 2
family 1
father 4
fault 1
favorably 1
felt 1
figure 1
figures 3
first 1
flees 1
fleet 1
follows 1
for 2
former 1
found 1
from 3
functions 1
general 1
go 1
goes 1
grandson 1
great 1
had 1
has 1
he 6
her 2
him 1
himself 1
hints 1
his 9
historical 1
honor 1
however 1
husband 1
imparts 1
implies 1
in 16
including 1
incomplete 1
into 2
involved 1
is 7
it 1
joining 1
killed 1
latter 1
leads 2
least 1
leaving 1
like 2
line 1
long 2
longforgotten 1
love 2
lover 3
lovers 1
loyalty 1
lysis 7
male 2
man 1
marries 2
memorable 1
men 1
military 1
modern 1
mostly 1
much 1
munychia 1
murdered 1
myron 3
named 1
narrated 1
next 1
noble 1
not 2
noted 1
novel 6
of 14
offstage 1
older 1
on 1
once 1
out 1
over 1
pankratiast 1
partly 1
passage 1
pederasty 1
peloponnesian 2
piraeus 1
plato 1
port 1
postscript 1
prominently 1
protection 1
qualities 1
rebellion 1
recalled 1
relationship 2
responsibility 1
resurgent 1
revolt 1
rule 1
runner 1
running 1
sacrilege 1
see 1
seek 1
seeking 1
sees 1
serve 1
service 1
several 1
shortly 2
should 1
sicilian 1
social 1
socrates 4
son 3
sowing 1
sparta 2
spartaninstalled 1
story 3
student 1
students 2
suggests 1
surrender 1
takes 1
teach 1
teaching 1
teenager 1
that 5
the 42
thebes 1
their 3
thirty 1
this 2
thrasybulus 2
through 1
to 8
too 1
traits 1
treated 1
trial 1
turned 1
tyranny 1
tyrants 1
under 3
until 2
victory 1
virtue 1
walls 1
war 2
warns 1
was 3
way 1
were 2
when 2
who 5
widow 1
with 6
woman 1
women 1
wooed 1
writes 1
xenophon 1
young 2
youth 2
