12099961
/m/02vpvxz
/m/02vpvxz
Ernest Bramah
1922
a 2
after 1
agent 1
an 1
ancient 1
and 1
aphorismladen 1
as 2
attains 1
before 1
beguiling 1
brought 1
by 2
charges 1
china 1
confidential 1
conviction 1
court 1
defense 1
finally 1
for 1
free 1
gemlike 1
golden 1
hand 1
he 3
his 2
hours 1
hwamei 1
in 3
is 2
itinerant 1
kai 4
love 1
lung 4
maiden 1
main 1
mandarin 3
mingshu 1
novels 1
of 5
on 1
other 1
plot 1
postponing 1
presentation 1
primarily 1
process 1
protagonist 1
recites 1
serves 1
set 1
shan 1
stories 1
storyteller 1
successfully 1
tales 1
the 11
tien 1
time 2
to 1
told 1
treason 1
unique 1
until 1
vehicle 1
with 1
