26024315
/m/0b6kthz
/m/0b6kthz
Andrew McGahan
2009-10
{"/m/06n90": "Science Fiction"}
a 7
always 1
an 4
and 1
as 1
be 3
bond 2
book 2
can 1
claims 1
coma 1
could 1
delusion 1
fact 1
fiction 1
figment 1
forms 1
from 1
her 2
hospital 1
imagination 1
immortal 1
in 3
insight 1
instead 1
into 1
is 4
island 1
it 1
left 1
man 1
mental 1
mute 2
mysterious 1
narrator 2
near 1
never 1
of 2
on 1
open 1
orderly 1
orphan 2
patient 2
perspective 1
possibility 1
powers 1
present 1
rather 1
read 1
reader 1
reared 1
reliable 1
science 1
set 1
simple 1
so 1
sure 1
telepathic 2
than 1
that 2
the 8
there 1
throughout 1
to 1
told 1
unnamed 1
who 2
with 3
woman 1
young 1
