8254342
/m/026xzp2
/m/026xzp2
Chester Anderson
1967
160s 1
a 5
able 1
action 1
after 1
alienintroduced 1
all 1
also 1
although 1
an 2
and 7
another 1
are 1
around 1
as 2
at 1
author 2
bicentennial 1
book 2
butterflies 1
by 1
cause 1
causing 1
central 2
chaos 1
character 3
colors 1
counterculture 1
drug 1
drugs 1
early 1
effects 1
element 1
elements 2
friend 1
future 1
generally 1
greenwich 1
hallucinations 1
he 1
hovercraft 1
in 2
indicated 1
introduced 1
is 7
kurland 1
lsdlike 1
manifest 1
mentioned 1
michael 1
much 1
name 2
near 1
not 1
novel 2
of 6
personal 1
phones 1
physically 1
pill 1
pills 1
primarily 1
produce 1
protagonist 1
psychedelic 1
psychoactive 1
reality 2
referred 1
refers 1
revolves 1
roommate 1
saturated 1
sean 2
set 1
sf 1
shapes 1
shares 2
sizes 1
spontaneously 1
story 2
such 1
taking 1
that 2
the 13
their 1
thoroughly 1
time 2
title 1
to 4
undefined 1
use 1
very 1
video 1
village 1
who 1
with 2
