6228372
/m/0fxvsp
/m/0fxvsp
Mahtab Narsimhan
1984-04
{"/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 28
about 2
accept 1
accepts 1
after 3
afternoon 1
afterward 1
again 2
against 1
agrees 2
alarm 2
alerted 1
alive 1
all 3
almost 1
alone 1
also 3
always 2
among 1
an 2
and 34
anne 1
apartment 3
approach 1
are 2
arrive 2
arrived 1
arrives 1
as 8
asked 2
asks 2
at 7
attacks 1
attempt 1
attention 1
babies 7
babysitter 1
back 1
bag 1
be 6
beautiful 1
because 1
becomes 1
bedroom 1
been 3
before 1
began 1
begins 1
being 1
believing 1
belong 1
belongs 1
betty 7
bicycle 1
blonde 1
blood 1
blue 2
bobby 7
body 1
born 1
both 1
bound 1
box 2
boyfriend 1
breaks 1
brother 1
but 4
by 3
calls 1
camp 1
can 2
cannot 1
car 6
carla 5
center 3
children 2
classmate 1
closing 1
clothing 1
colorado 1
come 1
comes 1
compelled 1
concerned 1
confronts 1
connors 1
contacts 1
daddy 1
date 1
dating 2
daughter 1
day 1
daycare 3
death 1
decides 2
directions 1
disappearance 1
discovers 1
does 2
doesnt 1
dog 2
dogs 1
doors 1
down 2
dreams 1
drives 2
driving 1
eighteenyearold 1
envisions 2
escape 1
events 2
explains 1
eye 1
eyes 2
face 1
fails 1
fall 1
falling 1
families 1
family 1
father 2
feel 1
feels 2
feet 1
finally 2
find 7
fire 2
first 3
fit 1
fitting 1
following 1
for 4
forces 1
francisco 1
freak 1
friend 1
friends 1
from 2
future 1
gagged 1
get 1
gets 2
getting 1
gift 1
girl 7
go 2
goes 1
going 1
good 1
graduates 1
guarding 1
guy 1
had 6
hair 1
has 8
have 1
havent 1
having 1
he 3
head 1
headed 1
heart 1
held 2
help 5
her 31
herself 2
hide 2
high 2
him 5
hired 1
his 1
hit 1
hits 1
home 3
hope 1
house 5
how 1
husband 1
if 2
illegally 1
implying 1
in 18
inside 1
instead 1
intends 1
intentions 1
introduced 1
is 20
it 2
items 1
jed 5
job 1
just 1
karen 42
karens 2
keep 1
keeps 1
kidnappings 1
knocking 1
knows 1
lady 2
later 1
leading 1
learns 1
leave 3
leaves 1
led 1
life 1
little 4
locate 3
locked 1
look 1
looked 1
losing 1
lost 1
love 2
loves 1
luckily 1
lunchtime 1
manager 1
meat 1
messages 1
missing 4
morning 1
most 1
mother 5
ms 1
much 2
name 1
named 3
nauseated 1
nearby 1
nephew 1
never 1
next 1
night 1
nobody 1
not 3
notices 1
now 1
of 18
offers 1
officer 8
older 1
on 5
one 4
oneself 1
only 2
or 2
other 1
out 5
over 1
pair 1
parents 2
park 1
partner 1
picks 1
play 1
pleased 1
points 1
police 5
policeman 1
popular 3
probably 1
protagonist 1
protect 1
psychic 3
pulls 1
pushed 1
question 1
realizes 2
realizing 1
receive 1
receives 1
receiving 1
reply 1
rescue 1
residence 1
returning 1
returns 1
revealing 1
reveals 1
ride 1
river 1
riverbank 1
ron 12
ronald 1
san 1
sanchez 2
sanchezs 1
sandals 1
save 2
saved 1
saw 1
saying 1
says 1
school 2
screams 1
see 1
seeing 1
seem 1
seems 1
seen 2
sees 1
sell 1
she 41
shoots 2
shot 2
shoulder 1
show 2
slow 1
slumber 1
smith 1
smoke 1
so 4
someone 2
soon 1
speak 1
start 1
starts 1
state 1
stephanie 1
still 2
stole 2
stove 1
stuck 1
summer 1
summers 1
suspicious 1
take 1
taken 1
tells 2
terrified 1
that 22
the 60
them 3
then 7
these 2
they 8
thing 1
third 1
this 3
though 1
thought 1
ties 1
tim 5
time 1
to 45
too 3
toys 1
tried 1
tries 2
triggers 1
trunk 2
try 2
turned 1
twice 1
unconscious 3
up 7
use 1
uses 1
vacation 1
various 1
vision 6
visions 3
visit 1
visited 1
vivid 2
want 1
wants 2
warn 1
was 7
watching 1
way 3
weak 1
well 1
were 1
when 7
where 3
which 3
while 3
who 6
will 1
willing 1
wilson 8
wishes 1
with 7
woman 1
work 1
would 4
yet 1
young 1
zenner 2
