14247608
/m/03cz35k
/m/03cz35k
Rose Macaulay
1956
120 1
1871142 1
a 8
abound 1
about 1
accident 1
acts 1
adultery 1
adventures 1
affair 1
after 1
against 1
all 3
always 1
an 1
and 17
anglican 1
anglicanism 2
anglocatholic 1
animals 1
another 1
are 2
arent 1
as 3
aspects 1
at 2
attracted 1
attractions 1
aunt 4
autobiographical 1
backdrop 1
barbara 1
based 1
bathing 1
bbc 1
between 1
billy 1
book 4
british 2
but 1
by 1
canvas 1
catch 1
catholic 1
chantrypigg 3
chapters 1
character 1
characters 2
christianity 3
church 1
churches 1
clergyman 1
collection 1
comedy 1
conflict 1
constantinople 1
conversion 1
converting 1
crazy 1
crusade 1
deals 1
death 1
delicious 1
described 1
dissolution 1
doctor 2
dorothea 1
dorothy 1
dot 4
dreams 3
eccentric 1
elements 1
eloping 1
emancipate 1
empire 1
enchanting 1
enlarged 1
eyes 2
face 1
faced 1
fair 1
famous 1
fantasy 1
far 2
farce 1
fatal 1
father 2
feminist 1
ffoulkescorbett 1
final 1
firm 1
first 1
foil 1
follows 1
former 1
fourth 1
fr 1
frenzied 1
friend 2
from 2
frs 1
geographical 1
gerald 1
gerard 1
gilbert 1
gleam 1
go 1
graham 1
group 1
had 2
has 3
hat 1
have 1
having 1
her 6
heroine 1
high 2
his 3
historical 1
hugh 2
illuminating 1
impossible 1
in 6
irvine 1
is 5
issues 1
istanbul 1
it 2
its 1
japes 1
jerusalem 1
journey 2
juvenile 1
keeps 1
l 1
laurie 2
level 1
liberation 1
life 2
lively 1
look 1
looks 1
love 1
lover 1
macaulay 2
mad 1
magicians 1
main 1
many 1
married 1
material 1
mclaughlin 1
meet 1
meeting 1
missionary 1
modern 1
monasteries 1
more 1
mother 1
mountains 1
multiple 1
mystical 1
narrator 1
new 1
nice 1
nineteenthcentury 1
no 2
nor 1
novelist 1
observe 1
odonovan 1
of 17
oh 2
on 5
opening 1
or 1
organized 1
otherwise 1
ottoman 1
own 1
partly 1
patrick 1
paul 1
peak 1
people 1
plump 1
pockets 1
policemen 1
popularizing 1
practical 1
preoccupations 1
priest 1
problem 1
proposes 1
raise 1
references 1
relics 1
religion 1
results 1
return 1
reynolds 1
roman 1
rose 1
sacred 1
sayers 1
says 1
semiestranged 1
senior 1
sentence 1
sex 1
shaw 1
she 3
shrewd 1
since 1
so 2
some 1
sometimes 1
souls 1
soviet 1
st 1
strange 1
succession 1
such 1
suggested 1
that 3
the 34
them 1
they 2
things 1
third 1
this 1
thoughts 1
times 1
to 8
together 1
tossed 1
tour 1
travel 1
travellers 1
travelling 1
travelwriters 1
trebizond 1
troy 1
turkey 1
turkish 3
two 1
union 1
until 1
war 1
was 2
way 1
where 1
while 1
who 1
will 2
with 4
woman 2
women 2
world 2
worldly 1
would 1
york 1
you 1
