9819194
/m/02pt4yr
/m/02pt4yr
Anosh Irani

a 8
abandoned 1
about 1
after 1
all 2
an 4
anand 2
and 12
are 1
as 3
away 1
awry 1
baby 1
be 1
beautiful 1
become 1
before 1
begging 1
bhai 1
bhais 1
bloodstained 1
blossom 1
bombay 2
bougainvilleas 1
brother 2
brutal 1
but 2
by 2
calls 1
car 1
care 1
chamdi 6
chamdis 1
charming 1
children 3
choice 1
city 3
citys 1
cloth 1
colour 1
colours 1
confides 1
courtyard 1
cricket 1
crippled 1
crushed 1
dares 1
day 1
decides 1
defy 1
desperation 1
determined 1
developers 1
devoid 1
discovers 1
don 1
down 1
earnings 1
entertains 1
entire 1
erupted 1
escape 1
even 1
everyday 1
eyes 1
faint 1
fantasy 1
father 2
fears 1
fierce 1
filth 1
filthy 1
find 1
finds 1
first 1
for 1
forever 1
from 2
giant 1
goes 1
grip 1
guddi 2
handing 1
happily 1
has 3
he 9
held 1
help 1
her 1
hes 1
him 4
himself 1
hindumuslim 1
his 6
homeless 1
hopes 1
however 1
hunasoned 1
idyllic 1
in 10
infant 2
initiate 1
innocence 1
insane 1
into 2
is 3
jesus 1
just 1
kahunsha 2
kill 1
kindness 1
known 1
land 1
learned 1
learns 1
left 2
life 3
lifesize 1
like 2
lives 1
longlost 1
lovely 1
man 1
most 1
mother 1
must 1
mutilate 1
no 2
nothing 2
of 13
offer 1
one 2
or 1
orphanage 4
ounce 1
outside 2
over 1
paradise 1
people 1
pinks 1
play 1
plot 1
prayer 1
presented 1
quickly 1
quiet 1
rains 1
rarely 1
recruit 1
reds 1
rob 1
robbery 1
room 1
run 1
sadness 1
sarcastic 1
scarred 1
search 1
shows 1
shut 1
situation 1
smell 1
solace 1
soon 1
spent 1
statue 1
steal 1
street 1
streets 2
sudden 1
sumdi 2
surroundings 1
takes 1
taking 1
temple 1
tenyearold 1
terribly 1
that 5
the 26
their 6
there 1
they 1
though 1
threatens 1
to 10
turn 1
underworld 1
ventures 1
vibrant 1
vicious 1
violence 2
walls 1
was 2
were 1
what 1
when 2
where 2
white 1
who 1
whoever 1
whom 1
will 3
with 3
worse 1
