18517700
/m/026cgb_
/m/026cgb_
Sinclair Smith

12 1
a 9
aaron 1
advice 1
affections 1
after 3
afterward 1
afterwards 1
agreeing 1
also 1
an 1
and 15
apartment 4
are 1
as 3
ask 1
asks 1
at 2
attack 1
aunt 4
being 1
bequeath 1
best 1
big 1
book 2
boyfriend 2
broken 1
brother 1
brutal 1
but 4
by 2
call 1
calls 2
can 1
care 1
carpet 1
catch 1
cats 1
character 1
chef 1
chinese 1
chronicle 1
columnist 1
come 1
competitor 1
coworkers 1
crime 1
critic 1
dane 1
date 1
death 1
dinner 1
does 1
dolly 1
each 3
editor 1
ends 1
exgirlfriend 1
express 1
expressed 1
eyes 1
facedown 1
fact 1
family 1
feel 1
few 1
finding 1
food 2
for 8
forgive 1
fresche 1
friedlander 4
friend 2
from 2
fuller 1
genevieve 1
get 1
gets 2
getting 1
go 2
good 1
gossip 1
grandmother 1
great 1
has 4
have 1
he 5
helen 2
help 1
her 11
him 3
his 8
hospital 1
hospitalization 1
impersonates 1
in 5
including 2
injection 1
insulin 1
intent 1
interested 1
into 1
is 9
it 2
jason 1
jobs 1
john 10
journal 1
journals 1
jumps 1
just 1
killing 1
kisses 1
lashes 1
late 1
later 1
longtime 1
love 2
main 1
many 1
married 1
marry 1
max 8
me 1
meanwhile 1
mel 10
melissa 4
men 1
million 1
millionaire 1
mixed 1
moves 1
mr 1
mrs 3
murder 1
mutual 1
nadine 1
neighbour 1
nephew 1
new 2
not 1
novel 1
of 4
off 2
on 4
only 1
other 3
out 2
outlandish 1
over 3
paco 2
peepers 1
pet 1
popular 1
problem 1
prompts 1
proposing 1
quite 1
randolph 1
reactions 1
replaces 1
reporter 1
restaurant 1
rich 1
salerno 1
saving 1
says 1
secret 1
sex 1
sharing 1
she 4
should 2
sisterinlaw 1
sleep 1
solve 1
spender 1
split 1
spoils 1
stacy 1
start 1
starts 1
stopped 1
style 1
supermodel 2
take 2
takes 1
telling 1
that 2
the 17
their 2
they 6
things 1
this 1
thought 1
to 10
tony 1
top 1
trent 4
troubled 1
tweedledum 2
two 1
up 2
upon 3
vacation 1
vargas 1
vivica 2
walking 1
well 1
whether 1
which 1
who 4
wilcock 1
wire 1
with 6
work 1
worries 1
would 1
yet 1
york 2
you 1
