12215084
/m/02vw4dk
/m/02vw4dk
Robert Wiersema
2006
{"/m/05hgj": "Novel"}
a 3
accident 2
accuse 1
aftermath 1
and 1
anyone 1
as 2
aspect 1
attention 1
barrett 1
barretts 2
be 1
becomes 2
british 1
but 1
car 1
case 1
characters 1
columbia 1
coma 1
comes 1
contact 1
cured 1
daughter 1
deal 2
denton 1
driver 1
even 1
exploiting 1
fantastical 1
figures 1
focus 1
for 1
found 1
from 1
gain 1
healing 1
henry 1
her 2
his 1
illnesses 1
in 6
intensifies 1
interest 1
into 2
intrude 1
is 3
leaves 1
library 1
limbo 1
lives 1
miraculously 1
not 1
novel 1
of 8
old 1
only 1
parents 1
pilgrims 1
public 1
religious 1
remorse 1
seeking 1
set 1
she 1
sherry 3
some 1
spreads 1
struck 1
struggle 1
that 2
the 11
their 1
there 1
this 1
three 1
to 3
trapped 1
trying 1
vehicle 1
victoria 2
which 1
who 3
will 1
with 3
word 1
year 1
