4183147
/m/0bnprq
/m/0bnprq
Doug Naylor
1995
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 55
abilities 1
able 3
aboard 3
about 3
abusive 1
accepted 1
across 1
acting 1
actually 1
advertisements 1
africa 1
after 8
again 4
against 1
ago 1
agreement 1
agrees 3
airlock 1
alarming 2
alive 1
all 6
allow 1
allowed 1
allowing 2
also 2
alternate 5
alternative 2
although 2
amnesia 1
an 9
and 79
another 5
any 1
approaches 1
approaching 1
are 8
arent 1
arnold 1
around 2
arrested 3
arriving 1
artificial 1
as 21
asking 1
asks 1
assault 1
assist 1
at 3
attacked 2
attacks 3
attempt 1
attempted 1
attempts 1
awakes 2
away 2
awoken 1
back 4
bad 1
bang 2
barely 2
barren 1
be 17
bed 1
bee 8
been 11
before 9
begin 1
begins 1
begs 2
behind 1
being 4
believe 1
belongings 2
bestow 1
between 2
bind 1
birthing 1
board 1
boarded 1
boarding 1
bodies 2
body 3
bonds 1
bones 1
born 1
boyfriend 1
bravely 1
break 3
breakout 1
bride 2
brought 2
bunch 1
buried 1
burn 1
but 6
by 15
campfire 2
can 5
cant 1
cases 1
cat 5
caught 2
causes 2
causing 2
cave 1
caves 1
chance 1
charged 1
charging 1
checking 1
chief 1
children 1
chitty 2
choice 1
chooses 1
choosing 1
cinema 1
circle 3
city 1
clear 1
clearly 1
clones 1
close 2
clothing 1
code 1
colony 2
come 4
comes 3
comfortable 1
commandant 1
comments 1
committed 1
commodity 1
communicate 1
comprehend 1
conducted 2
confused 2
confusion 1
considering 1
consume 2
consumed 1
consummate 1
contact 1
contained 1
convicted 1
coordinates 2
correct 1
could 2
courage 2
course 1
craft 1
created 4
creation 2
crew 22
crime 1
crimes 2
criminal 1
cursory 1
cyber 1
cyberia 9
damaged 2
dark 1
data 1
daughter 1
dave 2
deactivate 1
dead 2
deal 2
decay 1
decides 1
deep 2
defeats 1
defective 1
defend 1
degree 1
demand 1
demanding 1
depicting 1
derelict 2
desires 1
despite 3
destroyed 4
destroys 1
destruction 1
devastated 1
developed 1
die 2
differences 1
digest 1
disconcerting 1
disembodied 1
disenchanted 1
disoriented 1
diverse 1
dna 3
do 1
doesnt 3
doing 1
done 1
dr 3
dragged 1
dream 2
droids 1
drops 1
drowns 1
due 1
duplicate 17
dwarf 1
dystopian 1
earlier 1
early 2
earth 2
easier 1
eat 1
economy 1
ecret 1
electricity 1
emerges 1
emerging 1
encyclopedia 1
end 2
endless 1
ends 1
enjoy 1
enjoys 2
enough 1
entire 1
entity 1
environment 1
equipment 1
escape 5
escorts 1
even 1
events 1
eventual 1
eventually 1
everyone 6
everything 1
evil 15
exact 1
examination 1
experience 1
experimental 1
explains 1
fact 2
fail 1
falls 1
family 1
far 1
fatally 1
father 5
feel 1
feeling 1
feelings 3
feels 1
few 1
fight 1
file 1
final 1
finally 2
find 10
finds 4
fire 1
first 1
five 1
flashforward 1
flies 1
floating 1
following 1
for 21
force 2
forced 1
forces 1
fore 1
fork 1
form 2
forms 1
forward 1
foster 2
foul 1
found 3
four 2
from 10
fulfil 1
full 1
funeral 1
fury 1
galaxy 1
gambit 1
gelf 9
gelfs 1
genitals 1
genome 1
get 6
getaway 1
girlfriend 1
give 2
given 1
going 1
goodbye 1
got 1
grab 1
granted 1
grass 1
grave 1
gravity 1
great 1
grotesque 1
ground 1
growing 1
grows 1
grungy 1
guilty 2
gun 2
had 2
hand 3
hands 1
handy 1
happen 1
happened 1
happily 1
happy 2
hardly 1
has 15
have 6
having 8
he 34
head 3
headed 1
heading 1
heal 1
heavily 1
hell 3
hellish 1
help 2
hence 1
her 8
here 1
hero 4
heroic 1
herself 2
hesitant 1
hiding 1
highly 1
him 27
himself 8
hindered 1
his 46
hits 1
hold 2
holding 1
hologram 1
home 1
hope 2
hopes 1
horror 1
hospitable 1
hours 1
hovering 1
how 1
however 9
huge 1
human 7
humanity 1
hundred 2
ideal 1
if 1
illfated 1
imaginable 1
immediately 1
implanted 1
important 1
impossible 1
imprisoned 1
imprisonment 1
imprisons 1
in 43
inability 1
incarcerated 1
including 4
infect 3
infected 1
infecting 2
infects 2
inflicted 1
information 1
inhabit 1
inhospitable 2
initially 1
injuries 1
inmates 5
innocent 2
intend 1
intends 1
interested 1
into 15
introduced 1
involved 1
is 46
isnt 1
it 24
its 2
j 1
jetpack 1
john 1
joins 1
journey 1
just 3
kept 1
kill 1
killed 2
killing 4
kills 2
kinatawowi 2
kinatowowi 2
kinder 1
knew 1
knock 1
knowing 2
known 1
knows 1
kochanski 11
kristine 1
kryten 21
lake 1
lands 1
last 2
late 1
later 1
lava 1
learn 1
learned 1
learning 1
learns 2
leave 2
leaving 3
left 4
legal 1
life 3
light 6
like 1
likely 1
lister 56
listers 3
live 2
locates 1
long 2
longlost 1
longman 5
look 1
looking 1
loses 1
losing 1
lost 2
love 1
luck 6
lucky 3
machine 2
made 3
magistrate 4
maintenance 1
make 4
makes 1
makeshift 1
making 1
malice 1
man 1
manages 2
manicdepressive 1
many 1
marrying 1
matters 1
may 2
mayflower 4
mcgruder 6
means 1
meanwhile 5
mechanoid 2
medical 1
meet 1
meets 3
memory 1
michael 4
middle 1
milhous 1
million 1
mining 1
mirror 1
misguided 1
missing 1
mission 2
moment 1
months 1
more 3
morse 1
mostly 1
mother 1
move 2
much 1
murder 2
murdered 2
muses 1
must 1
mystics 1
naked 1
named 1
naturally 1
near 1
nearly 1
need 1
needed 1
network 1
neuroses 1
never 2
new 1
news 1
nixon 2
no 3
not 6
notices 1
now 4
numerous 1
obliges 1
ocean 1
of 58
offence 1
offer 3
omnizone 4
on 16
once 1
one 3
ones 1
only 6
opposed 1
or 1
orchestrating 1
order 4
organised 1
other 2
others 1
out 10
outrun 1
over 1
overcomplicated 1
own 2
pain 1
paper 2
parallel 1
parentless 1
parents 1
part 2
pass 1
passed 1
passes 1
passing 1
pathway 1
payment 1
peace 1
people 4
perhaps 1
person 1
personal 1
persons 1
piece 2
place 2
placed 1
places 2
plains 1
plan 2
planet 12
plans 1
pleasant 1
pluck 1
plunges 1
pod 1
poorer 1
populated 1
positive 2
possess 1
possesses 1
pounded 1
power 2
powerful 1
predict 1
premature 1
prepare 1
president 1
prevent 2
prison 4
process 1
procure 1
program 2
promise 2
proper 1
property 1
prospects 1
prostitutes 1
protest 2
proud 2
pulls 1
purposes 1
put 1
quarters 1
quickly 2
race 3
radiation 2
rage 15
raise 1
raised 1
ramshackle 1
reaching 1
real 1
realise 1
realises 3
realities 1
recolonisation 1
records 2
red 1
reelection 1
regular 1
reketrebn 4
remaining 1
remind 1
removed 1
rendering 1
required 1
rescued 1
research 1
resolves 1
rest 6
restart 1
restored 2
retrieving 1
return 1
reunited 1
reveals 1
revels 1
revenge 1
revived 2
rewrite 1
right 1
rimmer 18
risk 1
romantic 1
rope 1
round 1
run 1
ruthless 1
sadly 1
said 1
salesmen 1
same 1
save 1
saying 1
scientific 1
search 1
searching 1
seconds 1
section 1
see 4
self 6
sent 2
sentenced 1
serious 1
seven 1
several 3
shapeshifting 1
she 4
shelter 1
ship 15
shipmates 1
shoots 2
short 1
shouldnt 1
showings 1
sit 2
six 1
sleep 2
slipping 1
smuggling 1
snugiraffe 1
so 4
sociopathic 1
solar 1
solarpowered 1
soldier 1
solidgram 1
some 2
something 2
son 1
soon 3
souldestroying 1
souls 1
soulsapping 1
space 1
spends 2
sperm 2
spot 1
stand 1
star 2
starbug 13
stare 1
start 1
startled 1
starts 2
stasis 2
state 1
sterile 3
still 6
stirrups 1
stolen 2
stopping 1
store 1
storms 1
straight 1
structure 1
subject 1
successful 1
succumbs 1
suddenly 3
suffering 1
sun 1
supplies 1
surface 1
surprised 1
surrounded 1
survived 1
surviving 1
symbimorph 1
system 2
take 4
takes 2
taking 2
talks 1
technician 1
telepathic 1
tells 4
terraform 1
terraforming 2
terrible 1
tests 1
than 2
thanks 3
that 30
the 232
their 5
theirs 1
them 7
themselves 1
then 4
there 4
thermonuclear 1
they 9
theyve 1
thinking 1
this 9
though 1
thousand 1
three 1
threedimensional 1
thrive 1
through 5
throwing 1
throws 2
thus 2
tie 1
time 5
times 1
to 100
told 1
too 3
touch 1
trading 1
transport 2
trapped 3
traumatic 1
tribe 2
trip 1
turn 5
turns 2
twenty 1
two 4
unable 1
understands 1
unfortunately 3
union 1
universe 4
unnaturally 1
up 6
upbringing 2
upon 1
use 2
used 4
uses 1
using 3
valued 1
vehicle 1
venture 1
very 2
vials 2
viciously 1
virus 12
viruses 1
volunteering 1
waiting 1
wake 1
wakes 1
walks 1
want 1
wants 2
warns 1
was 10
water 1
way 1
weakened 1
wearing 1
weeks 1
welcome 1
welcomes 1
well 2
went 1
were 2
what 4
when 8
where 9
which 4
while 4
who 11
whole 1
will 13
wish 1
with 22
without 1
woman 1
wont 1
work 1
works 1
world 7
worse 1
worst 4
would 1
wounds 1
wrong 3
wrongly 2
years 3
