9926491
/m/02px6mx
/m/02px6mx
Nancy Werlin
2006
a 9
abuse 2
abused 2
act 1
address 1
advises 1
after 3
again 1
alcohol 1
also 1
although 1
an 1
and 13
angry 1
appears 1
are 2
away 1
back 1
bag 1
be 1
because 1
begins 1
being 1
ben 1
bobbie 1
book 3
both 1
break 1
brutalize 1
but 3
called 1
callie 5
can 1
clams 1
come 2
comes 1
coming 1
contain 1
contemplates 1
continue 1
cumberland 1
date 1
down 1
drives 1
drunk 1
eleven 1
emmy 7
end 3
ends 2
eventually 2
fact 1
farms 1
father 2
fault 1
finds 2
fine 1
first 1
for 4
found 1
friend 2
from 2
get 1
gets 2
gives 1
go 1
greets 1
has 1
he 2
heat 1
her 6
him 6
his 3
hits 1
i 1
in 7
instead 1
internet 1
into 1
introduction 1
involving 1
is 10
it 3
jail 3
joke 1
julie 2
kid 1
kidnaps 1
kill 1
killing 2
leading 1
legs 1
letter 2
letters 1
like 2
loses 1
man 1
mathew 1
matt 3
matthew 7
meanwhile 1
messages 1
mother 1
murdoch 12
never 2
nikki 13
no 1
normal 1
not 1
of 12
on 1
one 1
only 1
openly 1
or 1
out 2
pleasure 1
popsicles 1
protects 1
really 1
recklessly 1
rescues 1
rob 2
run 2
scared 1
search 1
see 1
seen 1
sends 1
she 6
shown 1
sister 3
so 1
some 2
stalking 1
starts 1
stating 1
stopping 1
store 1
story 2
tell 1
telling 1
tells 1
thanks 1
that 5
the 14
their 1
them 2
there 1
they 3
things 1
thirteen 1
this 2
threatening 1
to 13
toddler 1
tormenting 1
track 1
true 1
unconscious 1
until 1
up 2
use 2
vicious 1
walsh 1
want 1
was 4
wasnt 1
wave 1
when 4
where 1
which 1
while 1
who 3
will 1
with 4
writing 1
you 1
younger 2
