13787063
/m/03cj7vf
/m/03cj7vf
Ngũgĩ wa Thiong'o
1964
{"/m/0hwxm": "Historical novel"}
a 13
able 3
accuses 1
actions 1
activities 1
advance 1
affected 1
african 1
after 1
again 1
against 1
agree 1
alive 1
all 1
allows 1
alone 1
also 1
although 3
an 6
ancestral 1
and 22
angry 1
another 1
anticolonist 1
any 1
appears 1
apprentice 1
are 4
area 2
as 2
assassination 1
at 3
attacks 1
attempt 1
attend 2
attention 1
avoid 1
barely 1
be 1
beaten 1
because 3
been 1
before 2
behind 1
being 2
between 2
big 1
black 3
blacks 1
boarding 2
book 1
boro 2
both 1
boy 1
bring 1
brother 2
brothers 3
brought 1
brutally 1
but 2
by 8
called 1
calls 1
carpenter 1
chapters 1
close 1
closes 1
collect 1
compensation 1
connection 1
country 1
cowardice 1
crops 1
cultural 1
day 2
dealings 1
deals 2
death 2
decides 2
demonstration 1
deteriorating 1
dies 1
divided 1
do 1
does 1
doesnt 1
during 1
economic 1
education 2
eighteen 1
elder 1
eldest 1
embarrassed 1
end 1
ends 1
enough 1
even 1
eventually 1
everyone 1
exam 1
executed 1
exit 1
experiences 1
eye 1
fails 1
faith 1
family 5
father 6
fathers 2
feelings 1
few 1
fight 1
finally 3
find 1
finds 1
first 2
focused 1
for 11
forced 2
forth 1
free 1
friendship 1
from 3
funded 1
further 2
gathering 1
girls 1
gives 1
go 2
god 1
goes 1
going 2
greater 1
had 1
hang 1
has 2
he 15
her 7
high 2
higher 2
him 5
himself 1
his 22
home 1
hope 2
hopelessness 1
hopes 1
houses 1
however 2
howlands 4
if 1
ii 1
important 1
imprison 1
imprisoned 2
in 10
independence 2
injuries 1
inspector 1
into 1
is 23
it 1
jacobo 8
job 2
jomo 2
kamau 2
keep 1
kenya 2
kenyan 1
kenyas 1
kenyatta 1
killed 2
know 1
land 3
landowner 1
leader 3
leave 2
leaving 2
left 2
life 2
likely 1
lives 1
living 1
lose 2
loses 3
love 1
loyalty 1
made 1
makes 1
making 1
man 1
many 1
mau 8
meanwhile 1
meet 1
meets 1
member 1
men 1
money 1
months 1
more 1
most 1
mostly 1
mother 2
mothers 3
move 1
movement 1
mr 4
murder 1
murdered 1
mwihaki 4
namely 1
native 1
needed 1
nevertheless 1
ngotho 7
njoroge 20
njoroges 2
no 1
not 4
novel 1
now 1
obligation 1
of 21
office 1
on 3
one 5
only 2
or 1
organization 1
out 3
own 2
owner 1
pacify 1
part 2
participate 1
parts 1
passes 1
people 2
pledges 1
police 2
political 1
population 1
powerful 1
preserve 1
protecting 1
protests 1
proud 1
provider 1
put 1
questioning 1
real 1
realizes 1
realizing 1
reason 1
reflects 1
refuses 1
relatively 1
release 1
remain 1
removed 1
respect 1
respected 1
result 1
results 1
returned 1
revealed 1
revenge 1
revered 1
revolutionary 1
rich 1
rising 2
school 9
seem 2
sense 1
separation 1
service 1
settlers 1
she 2
should 1
situation 2
six 1
so 1
sole 1
son 2
soon 1
stays 1
strike 2
striving 1
suddenly 1
support 1
suppression 1
surrounding 1
survives 1
swears 1
switches 1
take 1
taken 1
tends 1
than 1
that 6
the 40
their 5
then 2
there 3
thereafter 1
they 1
think 1
this 3
thought 1
time 1
to 29
towards 1
town 1
trial 2
tries 2
troubled 1
tumult 1
turmoil 1
two 6
up 1
upcoming 1
upon 1
upset 1
urged 1
utter 1
very 1
village 1
wages 2
war 1
was 3
when 1
where 1
which 1
while 3
white 3
who 3
whole 2
with 9
witnessing 1
wives 1
woods 1
workers 1
works 1
world 1
would 1
young 1
