6751104
/m/0gm16m
/m/0gm16m
Ray Bradbury
1951-08-07
2053 1
a 4
and 2
at 2
be 1
car 2
center 1
citizen 1
city 3
day 1
decay 1
decides 1
disappeared 1
does 1
during 2
else 1
encounter 1
encounters 1
enforcement 1
enjoys 1
everyone 1
fallen 1
for 2
has 1
have 1
he 1
him 1
his 1
home 1
homes 1
in 4
into 1
is 2
it 2
law 1
leave 1
leonard 1
mead 3
million 1
mr 1
night 3
no 2
of 4
on 2
one 2
only 2
out 1
people 1
police 3
psychiatric 1
purpose 1
reason 1
regressive 1
research 1
revealed 1
roads 1
robotic 1
since 1
something 1
staying 1
story 1
struggles 1
take 1
televisioncentered 1
tendencies 1
that 1
the 8
their 1
this 1
three 1
through 1
to 4
tv 2
understand 1
unit 1
usual 1
walking 2
walks 1
watch 1
watching 1
we 1
which 1
why 1
with 1
world 1
would 1
