3641419
/m/09rqdj
/m/09rqdj
Ousmane Sembène
1960
a 5
ability 1
able 1
about 1
action 1
africans 1
after 1
agree 1
ahead 1
all 1
alongside 1
also 1
an 1
and 12
another 1
are 5
as 4
associated 1
at 1
bakayoko 2
bamako 2
beginning 1
behind 1
book 1
bread 1
breadwinneror 1
but 2
by 2
captured 1
cast 1
causes 2
characters 2
children 1
clear 1
collective 1
colonialist 1
concubines 1
conflict 1
considering 1
country 1
dakar 3
days 1
dejean 2
demands 1
deprived 1
determination 1
deune 1
dismissed 1
each 1
equally 1
era 1
eventually 2
evolution 2
faced 1
facing 1
factory 1
featured 1
food 1
foot 1
for 1
four 1
french 4
from 4
fundamental 1
gives 1
go 2
had 1
higher 1
highlights 1
however 2
important 1
in 9
including 1
inhabit 1
is 6
it 2
its 1
jobs 1
keita 1
large 1
lives 1
locations 1
locationsprimarily 1
maimouna 1
main 1
makes 1
manager 1
many 1
map 1
march 3
marching 2
markets 1
matters 1
men 3
more 1
most 1
nature 1
ndeye 1
noticeable 1
novel 1
of 16
on 2
one 1
onset 1
oppose 1
oppression 1
originally 1
others 1
over 1
part 1
participating 1
penda 1
people 3
perhaps 1
place 2
places 1
playersfa 1
populace 1
precisely 2
precolonial 1
preparing 1
provides 1
railroad 1
raise 1
ramatoulaye 1
rearing 1
relentlessness 1
responsible 1
role 1
running 1
scavengerto 1
seemingly 1
selfperceptions 1
sembene 1
sense 1
several 1
shortly 1
show 1
shows 1
society 1
some 1
soul 1
speak 1
spectrum 1
spirit 1
standing 1
story 1
strike 5
strikers 2
suggests 1
supporting 1
takes 1
that 7
the 50
their 2
them 4
themselves 1
there 1
these 1
they 3
this 5
those 1
tiemoko 1
to 9
train 1
tries 1
two 1
understand 1
walking 1
were 1
when 1
whole 2
willpower 1
with 1
wives 1
women 10
work 1
