31184601
/m/0gh8z9h
/m/0gh8z9h
Rosemary Sutcliff
1965
a 13
abha 1
accepts 1
across 1
adopted 1
after 3
against 2
agricola 1
all 1
among 1
amongst 1
an 4
and 22
approached 1
are 4
arena 1
around 4
as 5
ask 1
assassinate 1
assumed 1
at 2
attempt 1
back 2
battles 1
been 1
being 1
belonging 1
between 4
boats 1
boss 1
both 1
bough 1
built 1
but 2
by 5
caledones 4
calgacus 1
capital 1
captured 1
carved 1
celt 1
celts 1
ceremony 1
cluta 1
concept 1
conflicting 1
corstopitum 1
cost 1
countryside 1
credited 1
croe 1
crowned 1
cruachan 1
culture 1
cultures 2
dal 8
dawn 1
defend 1
described 1
developed 1
developing 1
die 1
discussed 1
discussions 1
dispersed 1
do 1
dun 1
duties 2
effects 1
effort 1
encountered 1
ensues 2
eponymous 1
escapes 1
eventually 1
eyes 1
features 1
fhiona 1
fighting 1
fighttothedeath 1
find 1
finds 1
firth 1
flees 1
foot 1
footprint 1
for 3
forehead 1
fort 1
frazer 1
freedom 2
from 3
frontier 2
general 1
geographical 1
glen 1
god 1
golden 1
great 2
haired 1
half 2
have 1
he 5
help 1
her 2
him 3
himself 1
his 5
historical 1
horse 3
identify 1
ie 1
impersonate 1
impostor 1
in 8
include 1
including 2
individual 1
individuals 1
influenced 1
instead 1
is 9
its 1
james 1
kin 1
king 5
kings 1
layingwaste 1
leadership 1
learning 1
lives 1
loch 2
lollius 1
lord 1
made 1
many 2
mark 1
midir 3
monaidh 1
moon 1
most 1
mother 1
native 1
northern 1
not 1
novel 2
novels 3
occurs 1
of 19
offered 1
on 4
one 1
opts 1
original 2
other 1
outcast 1
pax 2
people 1
performed 1
persuaded 1
phaedrus 6
picts 1
places 1
portrayed 1
preventing 1
previous 1
prince 2
punctuating 1
putout 1
queen 7
receives 2
recognize 1
red 2
referencing 1
refuge 1
representatives 1
responsibility 1
retaken 1
revolt 1
revolves 1
revolving 1
riada 8
role 2
roman 3
romana 2
romans 1
ruling 1
sacrifice 1
sacrificial 1
set 1
several 1
shield 1
shown 1
signifying 1
similar 1
slavegladiator 1
some 1
soon 1
spends 1
stage 1
story 1
struggle 2
struggling 1
subjects 1
subjugation 1
such 1
sun 2
sunset 1
survival 1
sutcliff 2
sword 1
tacitus 1
tattoo 1
the 53
their 2
theme 2
then 1
this 1
those 1
throughout 1
time 1
to 10
town 1
treatment 1
tribal 1
tribes 1
true 1
trust 1
understanding 1
urbicus 1
used 1
usurper 1
valentia 1
viewpoints 1
wall 1
war 2
were 1
where 1
which 1
who 5
win 2
wind 1
winning 1
with 2
within 1
woodenfoil 1
world 1
