3989624
/m/0bbb43
/m/0bbb43
Diane Duane
2004-05-25
a 1
absorbing 1
all 1
and 4
angel 5
angelus 2
are 4
as 1
aspects 1
at 1
attempts 1
been 1
before 1
by 2
can 2
city 2
clones 2
coming 1
connor 1
consisting 1
copied 1
demons 1
destroying 1
destruction 1
dimensionjumping 1
duplicating 1
even 1
facing 1
feel 1
final 1
find 1
fred 1
from 1
gain 1
gang 1
greatest 1
gunn 1
have 2
heroes 1
hits 1
however 1
in 2
incapacitating 1
intention 1
into 1
investigations 2
kill 2
killed 1
killing 1
lead 1
lilah 1
lorne 1
lurking 1
members 1
murder 1
must 1
necessary 1
negative 1
of 9
once 1
only 2
original 1
originals 2
other 2
out 1
perfect 1
planning 1
possess 1
power 3
realise 1
regenerate 1
replicas 1
research 1
series 1
seven 1
simply 1
sinner 1
sinners 3
skills 1
some 1
souls 2
source 2
spree 1
steal 1
subsequently 2
targeted 1
team 1
templates 1
thanks 1
that 3
the 17
their 6
them 1
they 4
this 1
to 4
travel 1
until 1
wesley 2
where 1
who 1
whole 1
why 1
with 2
world 2
worlds 1
would 1
