6756854
/m/0gmdqh
/m/0gmdqh
Michael Moorcock
1968
a 17
ability 1
about 1
act 1
against 1
age 1
agrees 1
aided 1
all 2
alongside 1
alternate 1
amarehk 1
ambassadors 6
america 1
an 4
ancient 1
and 57
another 2
appears 2
are 15
area 1
arrive 1
as 5
asiacommunista 3
assault 1
assembled 1
assistance 1
at 3
attack 1
attacked 5
attacking 1
audience 2
back 3
baron 7
been 2
before 2
begin 1
being 1
belonging 1
belongs 1
bewchard 12
bound 1
brass 7
build 1
but 6
by 19
called 3
calls 1
captured 1
castle 7
cave 2
cavern 1
charge 1
charki 2
chastises 1
china 1
cities 1
city 5
close 1
clothes 1
coast 1
conquering 1
constructed 1
consults 1
contain 1
contains 1
continue 3
count 2
countess 2
countryside 1
court 1
crashes 1
creatures 1
curry 1
dark 5
daverc 21
dawn 6
day 1
decides 1
defeat 1
defy 1
destiny 3
destroy 1
destroying 1
determines 1
devices 1
dies 1
different 1
dimension 3
dimensions 1
disappearance 2
discover 1
discovering 1
discovers 1
disgraced 1
disguise 1
dnark 2
does 1
dorian 1
east 1
eludes 1
elvereza 4
empire 6
empty 1
enable 1
enabled 1
enclave 1
encounters 1
enemy 1
ensues 1
ensure 1
enters 1
envoy 1
escape 2
europe 2
experiments 1
famous 1
far 1
favour 1
fight 2
find 3
finds 1
flana 4
flee 3
fly 1
following 1
foot 1
for 8
forces 2
forget 1
free 2
frees 2
from 5
fulfill 1
gatt 1
get 1
ghostly 1
given 1
gives 1
gold 3
gone 1
granbretan 5
greets 1
group 3
gun 1
halapandur 2
has 4
have 1
hawkmmon 1
hawkmoon 26
head 1
heads 1
help 1
her 1
hide 1
him 4
himself 1
his 12
hitech 1
hope 1
hoped 1
house 2
however 1
huillam 1
huon 4
in 29
informs 1
inhabitants 2
injured 1
instead 1
instructions 1
into 3
intriguing 1
introduces 1
is 15
it 5
its 1
jeleana 2
jet 3
jong 1
journey 1
kamarg 2
kammp 1
kammps 1
kaow 1
kept 2
killed 1
kills 1
kingemperor 4
laid 1
land 1
learn 1
learning 1
learns 1
leave 2
led 1
legion 1
live 1
lives 1
living 1
llandar 2
local 1
locating 1
londra 2
look 1
lord 2
lords 1
machine 1
machinery 1
man 2
manage 1
mang 1
many 1
master 1
means 1
medliadus 1
meet 1
meeting 1
meliadus 15
mikosevaar 1
mission 1
monster 1
more 1
must 2
mutants 1
mygan 10
mysterious 1
narleen 6
new 4
news 1
now 1
of 41
off 1
offers 1
old 2
on 3
one 1
only 1
order 1
orders 1
orleans 1
ornithopter 2
other 1
out 1
outer 1
over 1
overcome 1
own 1
pahl 1
pair 3
palace 2
picked 2
pirate 2
pirates 4
plane 1
playwright 1
pockets 1
pool 1
possession 1
power 1
prepared 1
pressed 1
priority 1
prisoner 2
private 1
prompting 1
quarters 1
quayside 1
questioning 1
raft 1
rather 1
really 1
refuge 1
relative 1
remain 1
report 1
request 1
reside 1
return 1
returning 1
returns 1
revealed 1
revenge 1
riding 1
ring 1
rings 2
river 1
runestaff 2
sacrifice 2
said 1
sayou 1
scale 1
scientific 1
scuttle 1
search 1
searches 1
searching 2
secret 1
security 1
seduces 1
see 1
seek 2
sets 1
shalang 1
she 2
shen 1
shenegar 2
shift 1
shifted 1
ship 7
shopping 1
showing 1
sights 1
sinking 1
sister 1
slavery 1
slaves 1
soldiers 1
sorcerer 1
source 1
special 1
spends 1
sphere 2
spheres 1
starvel 3
stepbrother 1
still 1
strange 1
succeeded 1
summoned 2
surrounding 1
sword 5
swordsman 1
sworn 1
take 1
taken 1
takes 3
taragorm 3
technology 1
tells 3
than 1
that 12
the 84
their 4
them 8
themselves 3
then 1
they 10
this 2
though 2
threatens 1
through 2
time 3
to 46
told 1
torched 1
tozer 7
trading 1
transport 1
travel 3
travelled 1
travelling 1
trott 2
try 1
turn 1
two 5
under 1
underground 1
up 2
upon 2
use 2
valjon 8
vanished 1
visits 2
vows 3
wales 1
wall 1
warrior 3
warriors 2
when 2
where 3
whether 1
while 3
who 4
whom 1
will 1
with 2
within 1
witnesses 1
woodland 1
woods 1
worshipped 1
wounds 1
yel 2
yet 1
york 1
zhenakteng 3
